"Date","Operator","AC_Type","Location","Fatalities","Registration"
"Mar 12, 2019","","Piper PA-31-350 Navajo Chieftain","Madeira, Ohio",1,"N400JM"
"Mar 10, 2019","","Boeing 737 MAX 8","Debre Zeit (Bishoftu), Oromia",157,"ET-AVJ"
"Mar 9, 2019","","Douglas DC-3","Finca La Bendición, Meta",14,"HK-2494"
"Mar 5, 2019","","Pilatus PC-6 (Porter & Turbo Porter)","Wat Bang Sala, Songkhla (สงขลา)",0,"74-2079"
"Mar 4, 2019","","Embraer ERJ-145","Presque Isle, Maine",0,"N14171"
"Feb 28, 2019","","Piper PA-46 Malibu Meridian (Malibu Mirage)","Shreveport-Downtown, Louisiana",2,"N428CD"
"Feb 23, 2019","","Boeing 767-300","Anahuac, Texas",3,"N1217A"
"Feb 15, 2019","Charles S. Azzopardi","Cessna 421C Golden Eagle III","Waterfield Lake, Texas",2,"N421NS"
"Feb 8, 2019","","Convair C-131 Samaritan","Miami, Florida",1,"N145GT"
"Feb 6, 2019","","Piper PA-46 Malibu Meridian (Malibu Mirage)","Aurora State, Oregon",0,"N997MA"
"Feb 3, 2019","","Cessna 414 Chancellor","Yorba Linda, California",5,"N414RS"
"Jan 30, 2019","","Beechcraft 200 Super King Air","Whatì, Northwest Territories",2,"C-GTUC"
"Jan 29, 2019","","Beechcraft 200 Super King Air","Kake, Alaska",3,"N13LY"
"Jan 25, 2019","","Cessna 207 Skywagon/Stationair","Cayenne-Rochambeau-Félix Eboué, All French Guyana",0,"F-OSIA"
"Jan 21, 2019","","Douglas DC-3","Kidron-Stoltzfus, Ohio",2,"N467KS"
"Jan 21, 2019","","Piper PA-46 Malibu Meridian (Malibu Mirage)","Alderney, Channel Islands",2,"N264DB"
"Jan 14, 2019","","Boeing 707","Fath, Tehran City District",15,"EP-CPP"
"Jan 13, 2019","TW 601-C Investment LLC","Canadair CL-601 Challenger","Ox Ranch (Uvalde), Texas",0,"N813WT"
"Jan 12, 2019","","Partenavia P.68","Strausberg, Brandenburg",2,"D-GINA"
"Dec 24, 2018","Congolese Air Force - Force Aérienne de la République Démocratique du Congo","Antonov AN-26","Beni, Nord-Kivu",0,"9T-TAB"
"Dec 20, 2018","Chen Aircrafts","Cessna 560 Citation V","Atlanta-Fulton County-Brown Field, Georgia",4,"N188CW"
"Dec 20, 2018","","Antonov AN-26","Kinshasa, Kinshasa City Province",7,"9S-AGB"
"Dec 20, 2018","Kenneth L. Reed","Piper PA-46 Malibu Meridian (Malibu Mirage)","Ponte Vedra Beach, Florida",2,"N307JM"
"Dec 8, 2018","","Britten-Norman Islander","West Portal (Southwest National Park), Tasmania",1,"VH-OBL"
"Dec 6, 2018","","Lockheed C-130 Hercules","Pacific Ocean, All World",5,"-"
"Nov 30, 2018","","Cessna 550 Citation II","Fargo-Hector, North Dakota",0,"N941JM"
"Nov 30, 2018","Estoair","Cessna 525 CJ2","Memphis, Indiana",3,"N525EG"
"Nov 26, 2018","","Cessna 525 Citation M2","Fazenda Fortaleza de Santa Terezinha (Várzea da Palma), Minas Gerais",4,"PP-OEG"
"Nov 18, 2018","","Cessna 441 Conquest","Bismarck, North Dakota",3,"N441CX"
"Nov 13, 2018","Lyle Boman","Cessna 340","Ponoka-Labrie Field, Alberta",0,"C-GMLS"
"Nov 12, 2018","C&C Flying","Rockwell Gulfstream 690C Jetprop 840","Myrtle Beach, South Carolina",0,"N840JC"
"Nov 9, 2018","","Boeing 757-200","Georgetown-Cheddi Jagan, Demerara-Mahaica",1,"N524AT"
"Nov 9, 2018","","Lockheed C-130 Hercules","Chaklala-Nur Khan AFB (Islamabad), Islamabad Capital Territory (وفاقی دارالحکومت)",0,"4180"
"Nov 8, 2018","","PZL-Mielec AN-2","Arkhangelsk, Arkhangelsk oblast",0,"RA-84674"
"Nov 7, 2018","","Boeing 747-400","Halifax-Stanfield, Nova Scotia",0,"N908AR"
"Oct 29, 2018","","Boeing 737 MAX 8","Jakarta, City District of Jakarta",189,"PK-LQP"
"Oct 28, 2018","","Cessna 340","Santa Cruz, Santa Cruz",0,"N5224J"
"Oct 25, 2018","Bulldog Flying Club","Piper PA-31 Cheyenne","Atlantic Ocean, All World",5,"N555PM"
"Oct 21, 2018","Keystone Aviation","Piper PA-46 Malibu Meridian (Malibu Mirage)","Hurricane, Utah",0,"N413LL"
"Oct 3, 2018","","Antonov AN-26","Khartoum, Khartoum (الخرطوم)",0,"7706"
"Oct 3, 2018","","Antonov AN-32","Khartoum, Khartoum (الخرطوم)",0,"-"
"Sep 28, 2018","","Boeing 737-800","Weno Island, Chuuk Island",1,"P2-PXE"
"Sep 27, 2018","Air America Flight Services","Dassault Falcon 50","Greenville-Downtown, South Carolina",2,"N114TD"
"Sep 27, 2018","","Cessna 208B Grand Caravan","Pacific Ocean, All World",1,"VH-FAY"
"Sep 25, 2018","","Beechcraft 200 Super King Air","Oscoda-Wurtsmith, Michigan",1,"N241CK"
"Sep 17, 2018","","Ilyushin II-20","Latakia, Latakia Governorate (مُحافظة اللاذقية‎)",15,"RF-93610"
"Sep 15, 2018","","Beechcraft 90 King Air","Ipumirim, Santa Catarina",1,"PR-RFB"
"Sep 9, 2018","South West Aviation","Let 410UVP","Yirol, Lakes (البحيرات)",20,"UR-TWO"
"Sep 6, 2018","","Cessna 340","Kimball, Michigan",1,"C-GLKX"
"Sep 1, 2018","","Boeing 737-800","Sochi-Adler, Krasnodar Krai",0,"VQ-BJI"
"Aug 30, 2018","","De Havilland DHC-6 Twin Otter","Mojo, Oromia",18,"ET-AIU"
"Aug 30, 2018","Henry Leasing Company","Beechcraft 60 Duke","Destin-Executive, Florida",4,"N1876L"
"Aug 25, 2018","Stargazer Aero","Grumman G-64 Albatross","Atlantic Ocean, All World",0,"N1955G"
"Aug 21, 2018","","Piper PA-31-310 Navajo","Limoges, Haute-Vienne",0,"F-HGPS"
