site,parameter,date,year,month,day,hour,aqi,unit,duration,qc_name,aqi_categ
Hanoi,PM2.5 - Principal,2015-01-01T01:00:00Z,2015,01,01,01,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T02:00:00Z,2015,01,01,02,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T03:00:00Z,2015,01,01,03,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T04:00:00Z,2015,01,01,04,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T05:00:00Z,2015,01,01,05,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T06:00:00Z,2015,01,01,06,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T07:00:00Z,2015,01,01,07,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T08:00:00Z,2015,01,01,08,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T09:00:00Z,2015,01,01,09,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T10:00:00Z,2015,01,01,10,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T11:00:00Z,2015,01,01,11,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T12:00:00Z,2015,01,01,12,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T13:00:00Z,2015,01,01,13,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T14:00:00Z,2015,01,01,14,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T15:00:00Z,2015,01,01,15,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T16:00:00Z,2015,01,01,16,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T17:00:00Z,2015,01,01,17,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T18:00:00Z,2015,01,01,18,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T19:00:00Z,2015,01,01,19,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T20:00:00Z,2015,01,01,20,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T21:00:00Z,2015,01,01,21,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T22:00:00Z,2015,01,01,22,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-01T23:00:00Z,2015,01,01,23,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T00:00:00Z,2015,01,02,00,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T01:00:00Z,2015,01,02,01,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T02:00:00Z,2015,01,02,02,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T03:00:00Z,2015,01,02,03,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T04:00:00Z,2015,01,02,04,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-02T05:00:00Z,2015,01,02,05,NA,UG/M3,1 Hr,Missing,NA
