"country","debt_gdp_ratio","region","gdp","debt","share_of_debt"
"Albania",71.3,"Europe",13039,9296.807,0.0163524798383957
"Algeria",19.9,"Africa",167555,33343.445,0.0586489546470263
"Angola",87.8,"Africa",126505,111071.39,0.195367362751274
"Argentina",53.7,"South America",637486,342329.982,0.602136209639865
"Armenia",56.7,"Europe",11536,6540.912,0.0115050394834184
"Australia",47.1,"Oceania",1408675,663485.925,1.16702865958407
"Austria",78.8,"Europe",416835,328465.98,0.577750330360616
"Azerbaijan",48.8,"Europe",40748,19885.024,0.0349764660109664
"Bahrain",82.7,"Asia",35325,29213.775,0.0513851332711251
"Bangladesh",28.1,"Asia",254646,71555.526,0.125861523880274
"Barbados",108.3,"Central America/Caribbean",4353,4714.299,0.00829214582486966
"Belarus",46.2,"Europe",54441,25151.742,0.044240280986314
"Belgium",104.3,"Europe",494763,516037.809,0.907676997868451
"Benin",56.4,"Africa",9236,5209.104,0.0091624756904286
"Bhutan",93.7,"Asia",2562,2400.594,0.00422248896692958
"Bolivia",51.5,"South America",37508,19316.62,0.0339766802834512
"Bosnia and Herzegovina",43.2,"Europe",18169,7849.008,0.0138058954081123
"Botswana",18.5,"Africa",17406,3220.11,0.00566396439685329
"Brazil",78.4,"South America",2055512,1611521.408,2.83456151487958
"Brunei",2.7,"Asia",12128,327.456,0.000575973841122195
"Brunei",36.75,"Asia",12128,4457.04,0.00783964394860765
"Bulgaria",28.6,"Europe",58222,16651.492,0.0292888931876511
"Burundi",40.9,"Africa",2869,1173.421,0.00206397134461866
"Cambodia",28.2,"Asia",22121,6238.122,0.0109724515346455
"Cameroon",32.3,"Africa",34924,11280.452,0.0198415825883005
"Canada",89.7,"North America",1647120,1477466.64,2.59876788261844
"Cape Verde",127,"Africa",1855,2355.85,0.00414378717631597
"Chad",60.8,"Africa",10716,6515.328,0.0114600388886781
"Chile",25.2,"South America",277080,69824.16,0.12281616351
"China",47,"Asia",12234781,5750347.07,10.1144871057292
"Colombia",53,"South America",309191,163871.23,0.288238852830666
"Congo, Democratic Republic of the",14.6,"Africa",37642,5495.732,0.00966663573065743
"Congo, Republic of the",92.2,"Africa",11292,10411.224,0.0183126669783531
"Costa Rica",66.2,"Central America/Caribbean",57564,38107.368,0.0670283858656339
"Cote d'Ivoire",51.4,"Africa",38054,19559.756,0.0344043407197697
"Croatia",81.5,"Europe",55201,44988.815,0.0791324043019086
"Cuba",35.8,"Central America/Caribbean",96851,34672.658,0.0609869540035186
"Cyprus",104.5,"Europe",22054,23046.43,0.0405371738836783
"Czech Republic",35.1,"Europe",215824,75754.224,0.133246761025943
"Denmark",35.1,"Europe",329865,115782.615,0.20365410160975
"Djibouti",32.3,"Africa",1844,595.612,0.00104764283280341
"Dominican Republic",47.1,"Central America/Caribbean",75931,35763.501,0.0629056760082193
"Ecuador",41,"South America",104295,42760.95,0.0752137344300734
"Egypt",104.4,"Africa",195135,203720.94,0.358331905137863
"El Salvador",68.1,"Central America/Caribbean",24805,16892.205,0.0297122917243035
"Equatorial Guinea",23.4,"Africa",12487,2921.958,0.00513953438891859
"Eritrea",113.7,"Africa",3858,4386.546,0.00771564958003273
"Estonia",9.3,"Europe",25921,2410.653,0.00424018209476309
"Ethiopia",60.2,"Africa",75605,45514.21,0.0800565399911506
"Fiji",50.4,"Oceania",4532,2284.128,0.00401763283547944
"Finland",63.8,"Europe",252246,160932.948,0.283070605585723
"France",98.5,"Europe",2582492,2543754.62,4.47429920158351
"Gabon",42.8,"Africa",14623,6258.644,0.0110085484000793
"Georgia",44.2,"Europe",15159,6700.278,0.0117853539292196
"Germany",64.1,"Europe",3693204,2367343.764,4.16400396086116
