"sbd","van","ngoaingu","toan","chuyen"
90001,8.5,10,8,8.5
90002,8.25,8.75,7.5,5.25
90003,7.5,9.75,6.25,6
90004,8,9.5,3.25,3
90005,8,9.75,7.75,4
90006,7.75,8.5,5.25,2.75
90007,8,9.75,7.75,5.5
90008,8.75,9.75,7.75,4.75
90009,6.75,8,6.5,2.25
90010,6.5,7.25,5.5,2
90011,8.25,10,9.25,5
90012,7,8.25,7.5,2.25
90013,8.25,10,8.25,2.75
90014,7.5,8.75,4,3.5
90015,8.5,9.5,6.75,3.75
90016,8.25,9,6.5,2.5
90017,8.25,9.25,6.5,4.5
90018,8.5,9.75,7,3
90019,9,9.5,6,2.5
90020,8,8.75,6.5,2.75
90021,8.75,9.5,7.25,6.5
90022,7.75,8.5,6.25,2.5
90023,8.5,9.75,7,4.25
90024,8,9.75,5.5,7.5
90025,7.5,9.75,8,4.25
90026,7.25,9.5,8.5,4
90027,8.5,9.75,7.25,5
90028,8.5,9.25,7,3.75
90029,7.5,9.5,6,2.25
90030,7.5,8.75,7,2.25
90031,8,9.75,6,6.5
90032,8.75,9.5,7.25,5.75
90033,8.75,9.25,7.5,2.5
90034,7.5,9.25,6.75,6.75
90035,9,9.75,8.25,4
90036,8.75,9.75,7.75,6.75
90037,7.25,10,7.5,7.5
90038,8,9.25,7.25,2.5
90039,7.75,7.75,5.25,2.5
90040,7.25,9.75,8,4.25
90041,7.5,9.5,7,4.25
90042,8,9.5,7.75,5
90043,7.5,9.5,7.75,3.25
90044,7.75,8.75,6,2.25
90045,8.75,9.25,5.25,2.75
90046,8.25,9,4.5,3.25
90047,9,9.75,8,5.75
90048,8,8,7.25,3
90049,7.75,8.25,7.25,2
90050,7,7.5,6,2.25
90051,7.5,9.25,6.75,3.25
90052,8,10,8,5
90053,8.75,10,7.25,4.25
90054,7.5,9.75,7.25,3.25
90055,8.25,9.25,8.25,6.5
90056,7,8.25,5.75,1.5
90057,7,10,7,3.5
90058,8,9.5,7,6.25
90059,6.5,7.5,5.5,2.25
90060,8.25,10,6.75,7
90061,7.5,10,4,6.25
90062,8.75,9,8.25,5
90063,8,10,6.5,4.75
90064,7.5,8,8.25,3.75
90065,7,9,7.75,1.75
90066,8,9.5,6.5,3.25
90067,8.5,8.5,6.5,3
90068,7.5,8.5,6.5,2.75
90069,7.75,9.25,7.25,3.25
90070,7.25,9.75,6,3.5
90071,7.75,9.25,5.5,3.25
90072,8.25,7,6.5,2.5
90073,9.25,9.25,8,3.75
90074,7.25,8.25,7,3
90075,8.5,9.25,7.25,5.25
90076,9,9.5,7.5,7.25
90078,8.5,8.5,5,4.25
90079,9,10,8.75,3.75
90080,8.25,10,4.75,7
90081,8.75,10,7.25,5.5
90082,8.25,8.75,6.5,2
90083,8.25,9.75,7.75,3
90084,8.25,8.75,8.25,3.75
90085,9,10,6.25,7.25
90086,8.25,9.5,8,6.5
90087,8,10,7.75,7
90088,8.25,9.5,7.75,3.75
90089,6.5,8,4.5,1.5
90090,8.5,9.75,8.75,4.25
90091,7.25,9.25,6.75,7
90092,8.25,8.75,7.25,2.75
90093,8,10,7.75,4.25
90094,8.25,9.5,6.75,3.5
90095,8.25,9.5,6,2.5
90096,8.25,10,8.5,7.75
90097,7.5,9,5.75,2.5
90098,7.5,9.75,8.5,6.25
90099,7.5,9.25,8.75,3
90100,8.5,10,7.75,7.75
90101,8.25,10,8.5,5.25
90102,8.5,8.25,8,4
90103,7.5,9,7,3
90104,8.25,9,7,3.75
90105,8,9.5,5.5,4
90106,7.25,9.5,7,3.75
90107,7.25,9.5,8.5,5.75
90108,8.25,8.75,7,3.5
90109,8,9.75,8,3.25
90110,7.5,9,6.75,2
90111,8,9.25,7.5,5
90112,8.25,9.75,8.25,3.5
90113,7.75,9.75,7,6.25
90114,6.75,9.75,7.25,7.25
90115,7.25,8.75,7.5,3.75
90116,7.5,9,5.5,2.25
90117,8.25,10,8.75,5
90118,6.5,9.75,6.75,6
90119,6.5,9.75,6.75,5
90120,7.75,9.5,6,6.5
90121,8.25,9.75,4.5,4
90122,8.75,10,7.5,3.5
90123,8.25,9.25,8,4.75
90124,8.75,9.5,7.75,6
90125,6.5,7,4.5,1.75
90126,8.25,8.25,5,3.75
90127,8,10,8.75,7
90128,8.5,9.75,5.25,5.75
90129,6.5,10,5.5,6.5
90130,8,8.75,7.25,2.75
90131,8.25,9.75,6.25,5.5
90132,8.25,8.75,6.75,2.25
90133,8,9.5,7,4.5
90134,6.5,10,7,4.25
90135,7.5,9.25,7.5,3.5
90136,8.25,9.5,7,2.5
90137,8,9.75,7.5,6.75
90138,6.5,7.25,6.75,1
90139,9,9,6.25,4.25
90140,7.75,9,8,2.5
90141,7.75,9.75,8,3.5
90142,7.75,9.75,7.5,4
90143,7.5,9.25,7.25,6
90144,7,9.5,7.25,4.5
90145,6.75,9.75,7.25,6.5
90146,8,8.5,6.25,1.75
90147,7.25,8,6.75,1.25
90148,8,10,6.25,7
90149,7.75,9.75,7.25,3.5
90150,7,5.25,6.25,1.75
90151,7.75,9.5,7,6.75
90152,8.5,10,6,4.25
90153,6.75,8.5,7.75,3.75
90154,8.25,9.25,6,4.25
90155,8.5,10,7.75,6.25
90156,7.75,8.25,5.25,1.75
90157,9,9.75,7.25,6.75
90158,8,8.75,7,2.5
90159,8.25,9.5,7.75,4.5
90160,8,9,8,4.75
90161,8.25,10,7.5,4.75
90162,8.5,10,7.5,5.75
90163,8.25,9.75,8.25,5.5
90164,8.25,10,7.5,5.5
90165,8.5,10,7.5,3.25
90166,8,9,6,2.75
90167,7.75,8.75,4.25,2.75
90168,7.5,10,6.5,8.5
90169,7.25,9.25,7,3.25
90170,8,9.25,6.5,4
90171,7,8.75,7.25,2.25
90172,7.75,9.75,6,4
90173,8,9.25,6,4.25
90174,6.5,10,7,3
90175,7,8.25,7.75,2.75
90176,8.5,10,7.25,6.75
90177,8,10,7.25,7.25
90178,7.75,9.75,8,3.75
90179,8.25,9.5,7.25,4.25
90180,7.5,9.75,8.25,6
90181,7.5,9.25,7.75,3
90182,8,8.5,7.25,2.75
90183,7.5,8.75,8,3
90184,6.5,10,7.5,5.75
90185,6.75,9.5,7,6.75
90186,8,10,8.75,8.25
90187,7.25,9.25,6.5,3
90189,7.75,8.75,7,2.25
90190,7.75,9.75,7.25,3.5
90191,7.5,8.75,6.5,2.5
90192,7,8.75,6.75,2.75
90193,7.5,10,8,5.75
90194,8.25,8.75,8.5,2.25
90195,8.75,9.5,7.75,4
90196,6.5,9.5,7.25,3
90197,7.75,9.25,7.25,3.5
90198,9,9.75,8,3.75
90199,7.75,9.75,7.25,5.25
90200,8,9.25,5.75,4
90201,7.75,10,6.75,6.5
90202,8.25,10,8,5.25
90203,8,9.75,5.25,5.25
90204,8,10,7.5,4.5
90205,7.75,9,5,5.25
90206,6.25,9.75,6.75,3.75
90207,6.75,9,6.25,3.5
90208,6.75,9.25,7.25,4.5
90209,8.25,6.75,7.75,2
90210,6.75,9.5,6,4.5
90211,7.25,9.5,7,4.25
90212,7,8.75,7,3.5
90213,8.5,9.75,6.5,5
90214,7.25,9.5,7.75,3.5
90215,8,9,7.25,1.75
90216,7.5,8.75,6,3
90217,7,9.5,6.5,3.25
90218,7.25,9.75,8,3.25
90219,8.25,10,8.25,4.5
90221,7.5,9.25,7,1.5
90222,7.5,8.75,7,3
90223,8,9,7,3
90224,7.75,8.25,7.5,2.5
90225,8,8.75,7.5,2.5
90226,8,9.75,7,7.75
90227,7.5,10,6.5,4.5
90228,6.75,9,7.75,3
90229,7.5,9.5,7,4.5
90230,8,9.25,5.25,2.75
90231,7.25,9.25,6.75,3
90232,6.5,8,5.5,3.25
90233,6,9.75,6.5,6
90234,8.5,10,7.5,5.5
90235,7.25,9.75,8.5,5
90236,6.75,9,7,2
90237,7,9.25,3.25,5.75
90238,8,8.75,7.25,3.5
90239,7.5,9.75,8.75,6.5
90240,8.5,10,6.75,4.25
90241,8.75,10,7,7.75
90242,7.5,8.75,6.25,2.5
90243,8,9.75,8,7.75
90244,8,9.25,7,4.5
90245,7,9.25,7.25,5.5
90246,7.5,9.75,7.25,5
90247,6.5,10,8,6.5
90248,7.75,10,8.5,7
90249,6.5,8.75,7.25,2
90250,6.75,9.25,6.5,2.75
90251,6.25,8.25,4,5
90252,7.75,8.75,5.75,6.25
90253,8,8.25,6.5,2.75
90254,7.5,9,7.25,3.5
90255,7.5,9.5,5,4.5
90256,7.5,9,7.75,2.75
90257,6.5,7.5,5.5,1.25
90258,7.5,9.75,7.25,5.25
90259,7.25,10,7.25,3.25
90260,7,7.25,3.75,1.5
90261,8,9.25,6.75,3.25
90262,7.75,9,7.75,4.5
90263,6.5,10,8,5.5
90264,7,9.75,7.25,4
90265,6.5,9.75,6.75,5.25
90266,7,9.25,6.5,3.75
90267,8,10,8,2.25
90268,8,9.75,8.5,6.25
90269,7.5,8,6.25,3.5
90270,6.75,9,6.75,3.25
90271,7.5,9.75,7.75,4.75
90272,7.75,10,6.75,5.5
90273,7.75,8.75,6.75,3.25
90274,8,10,6.5,4.75
90275,8.25,9.75,8,7
90276,7.75,8.75,6.25,2.75
90277,8.25,8.25,3.75,1.75
90278,8.5,8,5.75,2.25
90279,7.75,9.5,6,4
90280,7.75,9.75,7.25,3.75
90281,8.25,9.75,6,4.75
90282,8,8.5,5.5,3.25
90283,7.5,9.5,7,3
90284,7.5,9.75,7,4
90285,6.75,9,6,7.25
90286,7.25,9.75,6.75,5.25
90287,6.75,9.25,5.75,2.75
90289,7.25,9.25,7,2.5
90290,6.75,8.25,7.5,2.5
90291,7,7.25,7.5,2
90292,8,9,7.25,3.75
90293,8,7.5,7.25,2.25
90294,7.75,10,7.75,6.5
90295,6.75,9.25,4.25,3.5
90296,7.75,9.75,7.75,7.25
90297,7.5,9.25,7.25,2.75
90298,8.25,9.75,6,7.75
90299,7.5,10,7.25,5.5
90300,6.75,10,7.75,5
90301,8,10,7,3.75
90302,7.25,9.75,8.25,6
90303,8.75,9.25,7.25,4
90304,6.75,9.75,7,5.25
90305,8,10,7.5,3
90306,7,9,6.25,4
90307,6.75,9.75,7.75,5.25
90308,8.5,9.5,6.5,3.5
90309,8.25,9.75,5.75,6.25
90310,8.75,9.75,8,6.75
90311,7.25,9.5,7.25,1.75
90312,7.5,8.5,7.5,2.5
90313,8,9.5,6,3
90314,7.75,9.75,7.5,8.5
90315,7.25,9.5,7.25,6
90316,6.75,9.75,7.75,4
90317,7.75,9.75,7.25,4.5
90318,7.25,9.25,5.25,3.75
90319,7.75,9.25,7.25,2.25
90320,8,9.5,7,4.75
90321,7.75,9.5,8.25,4.5
90322,6.5,9.25,7.25,6.5
90323,7.5,9.25,5.25,3.75
90324,8.75,9.75,7.25,4
90325,8.5,10,9.25,6.5
90326,7.25,9.5,6.75,3
90327,7,10,8,5.25
90328,6.5,8.75,6,2.25
90329,8.5,8.75,8,2
90330,7.75,8.75,6.75,2.5
90331,7,9.25,7,5.75
90332,6.75,9,7,4.5
90333,7.75,9.25,7.25,3
90334,7.75,10,7.5,6.25
90335,7.75,9,6.75,3.25
90336,6.75,9.75,8,3.5
90337,7.5,10,8,8
90338,8.75,9.25,7,3.75
90339,8.75,10,7.75,4
90340,8.5,10,8,5
90341,8,9.75,7.5,5
90342,8,9.75,7.25,1.75
90343,8.25,9.5,5.5,5.75
90344,7.75,8.5,5.5,1.75
90345,6.25,8.5,5.25,1.75
90346,7,8.5,7.25,4
90347,7,9,7.25,4
90348,8.75,7.5,7,2.25
90349,7.75,9.25,7.75,5
90350,6.75,9.5,7.25,2.75
90351,8.25,9.5,5.25,7
90352,7.75,9.75,7.5,4.75
90353,6.25,8.75,7.5,4
90354,7.75,9.5,8.25,4
90355,8.25,9.75,4,4.75
90356,7.5,10,8,3.75
90357,7.25,8.25,7.25,2.75
90358,8,9.75,6.25,5.5
90359,7.75,8.25,7.5,2.75
90360,7.75,9.25,8.25,5.25
90361,7,9.75,6.75,3.75
90362,8.75,9.75,7,5
90363,8.25,9,6.75,1.75
90364,7.25,6.75,6.75,3.5
90365,7.5,10,8.75,3.75
90366,6.75,9.75,8,3
90367,6.75,10,7.5,4.75
90368,7,9.25,7,3.25
90369,8.5,10,7.5,7.75
90370,8.5,9.25,7,3.25
90371,8,9.25,6.5,3.25
90372,8,8,8,1.5
90373,6.5,9.25,5.75,4
90374,8.25,9.5,7,3
90375,8.75,10,7.25,5
90376,8,10,8.75,5.75
90378,8.25,9,6.75,3
90379,8,9.25,8,2.25
90380,7.75,10,7,5.5
90381,8,9.75,6.5,4.5
90382,7,9,4.5,2.25
90383,7,10,5.5,6.5
90384,8.25,9.75,9,6.25
90385,8.25,10,7.25,5.25
90386,8,9.75,7.25,4.5
90387,8.5,10,7,7.25
90388,7.5,9,8,5.5
90389,6.75,7.75,7.25,2.5
90391,8,9.75,8,5
90392,8.75,8.5,7.25,2.5
90393,6.25,9.5,8,3.5
90394,8.25,9.5,6.25,5.75
90395,7.5,9.25,7.25,3.25
90396,7.5,8,7,1.75
90397,8.5,8,7.75,2.25
90398,9,9.75,8,5
90399,7.5,9.75,8.5,7.75
90400,6.5,10,7.75,5.25
90401,8,9.5,7,6
90402,8.25,10,7.75,7.5
90403,7,10,7.75,5.25
90404,8,8.5,6.75,3.25
90405,8,10,6.75,6.5
90406,7.75,8,5.5,2.5
90407,8.25,7.75,3.75,2.5
90408,8,9.5,7,5.25
90409,8.75,9.75,7.25,3.5
90410,8.5,9.5,7.25,2.25
90411,8.5,10,9.25,7.75
90412,8,9,6.5,2.25
90413,8.5,9.75,8.25,8.25
90414,7,8.75,7,4.75
90415,8.25,9.5,5.5,4.5
90416,8.5,9.5,6.5,3.25
90417,7.5,9.25,8.25,4
90418,7.5,9.25,6.75,3
90419,8.25,9.5,7,5.5
90420,8.25,10,7.25,7.75
90421,8,9.25,6.5,2.75
90422,7.75,8.75,6,3
90423,7.25,9.75,8,4.5
90424,8.25,9,8.5,3.25
90425,8,9.75,7.75,5.75
90426,6.5,9.25,5.25,3.25
90427,8.5,10,7.5,3.5
90428,8.25,9.75,8,4.75
90429,8.25,9.75,8.75,3.25
90430,8,9.25,8,6.5
90431,8.25,9.25,5.25,3.75
90432,7.25,9.75,7.5,4.75
90433,7.75,9.5,6.5,2.75
90434,7.75,9.5,4.75,2.75
90435,7,9.25,5.75,4.25
90436,7,8.25,6.5,0.5
90437,8,9.25,7.75,4.75
90438,8,9.5,7,2.75
90439,8.25,9.25,7.5,4.25
90440,7.25,9,8.75,5.5
90441,8,8.75,6,3
90442,7.25,10,9,7.75
90443,6.5,9.75,7,4.75
90444,7.25,10,8.25,4
90445,6.25,10,8,5.25
90446,6.25,9.75,7.75,6.25
90447,7.5,9.25,7.25,3.5
90448,8,9.25,7.25,3.25
90449,7.75,9.5,7.75,5.25
90450,7.5,9.25,6,4
90451,8,10,8.75,7.25
90452,7.25,9.75,5,4.5
90453,7.25,10,7,6.25
90454,7.5,9.5,7.5,5.25
90455,7.25,9,8.5,3
90456,7.25,8,6,2.5
90457,8,10,7.5,5.25
90458,8,10,7.75,7.25
90459,8.5,10,8,7.75
90460,7.75,9,8,3.25
90461,7.75,9.25,7,3.75
90462,7.75,9.5,6.75,5
90463,8,9.75,6.25,3.25
90464,8,9.75,6.5,4
90465,7,9.25,8,4.25
90466,7,10,7,5.25
90468,8.25,9.25,7.5,3
90469,8,9.5,7.5,2.5
90470,8,10,8.25,7
90471,8,10,6,3.5
90472,8.5,8.75,5.5,2.75
90473,7.5,9.25,8.5,2.25
90474,8,9.75,6.5,6
90475,7.5,8.75,6.25,2.5
90476,8,8.25,6.75,2
90477,7.5,8.25,6.75,2.5
90478,8,9.5,7.25,4.5
90479,7.75,9.5,7.75,7.25
90480,8,9.75,7.75,5.25
90481,6.5,9.75,7.25,5.75
90482,8.25,10,9.25,5.25
90484,7.25,9.25,4.75,4
90485,8.5,9.5,7.5,2.75
90486,8,8,6.25,3.25
90487,8,10,6.75,6
90488,7.25,10,7,4
90489,8.75,9.5,8,6.25
90490,7.75,10,7.25,3.5
90491,7.75,9.25,7.5,5
90492,8,9.75,6.5,4.5
90493,8.75,9.5,7,4.25
90494,8,9,5.5,3.75
90495,7.5,9.75,8.75,4
90496,8.25,9.5,7.25,4.75
90497,8.5,9.5,7.25,3.5
90498,7.75,9.75,7,3
90499,8.25,9.5,8.5,5.25
90500,8.75,9.25,8,5
90501,7.75,9.75,6,5.25
90502,8.5,10,8,5
90503,7,9,7.5,2.5
90504,8,9.25,7.25,2
90505,8.5,9.5,8.25,5.25
90506,8.5,9.25,7.75,2.5
90507,7.5,7.5,6,2.25
90508,8.25,10,7.25,5
90509,7,8.75,7.25,2
90510,8.5,9.25,8,3.25
90511,8.75,7.75,8,2.25
90512,8.75,9.5,7.75,3
90513,7,9.75,7.5,4.25
90514,7.5,9.5,8,2.5
90515,9,9.5,7.5,5.75
90516,8.75,9.75,6,4.25
90517,7.75,8.5,7.25,2.5
90518,9,10,7,6.25
90519,8,9.25,5.75,3.75
90520,7.75,9.5,7.25,1.75
90521,8,9.5,7,5.5
90522,7.25,10,7.25,5.25
90523,7.75,10,7,8
90524,7.75,10,8.25,5.75
90525,6.5,9,7.5,3.5
90526,8,9.75,6.25,5.25
90527,7,9.75,7.5,5
90528,7.5,9.25,8.5,3
90529,7.75,6.75,5.75,2.5
90530,7.5,7.75,7,2.5
90531,8.5,9.75,6.5,5
90532,8,10,7.25,5.5
90533,8.25,9.5,8.25,3.5
90534,7.75,10,7,3
90535,8.5,9.75,7.75,6.25
90536,8.5,8,7,1.75
90537,8,10,7,5
90538,6.25,5.5,6,1.25
90539,8.25,9.5,7,3.75
90540,7.75,8.5,5,2.25
90541,8,9.75,8,5.25
90542,8.5,8.75,7.5,1.75
90543,8.5,8,8,2
90544,6.75,9,6.5,4.75
90545,8,8,5.5,4.5
90546,9,9,7.5,3.25
