"sbd","van","ngoaingu","toan"
1,6,5,0.5
2,7.25,6.5,4.25
3,6,8.5,4
4,8,8.5,3.5
5,7.75,7.75,7.25
6,7.25,6,3.5
7,7,7.75,5.25
8,7.75,9.25,7
9,6.5,6.25,5.75
10,6.5,6.25,2.25
11,8.25,5.75,5.5
12,6.5,6.25,3
13,7.25,9.5,5.25
15,8.5,9.25,4.75
16,7.5,8,5
17,8.75,8.5,5
18,7.25,7.75,4.75
19,7,6.75,4.75
20,8.75,10,5.25
21,5.75,4.75,2.25
22,7.75,7.75,4
23,6.75,6.5,3.75
24,5.5,8.75,6.75
25,6.25,5.5,5
26,7.75,9.25,6.5
27,6,5.25,4.75
28,7.25,7.5,4.75
29,7,8,6.75
30,8.25,7.75,6.75
31,8,8.25,4
32,5.5,4.75,4.25
33,7.25,7.75,5.5
34,7.5,7.5,4.75
35,7.25,7.5,4.75
36,6.5,5.75,1.75
37,7.5,9.25,6.25
38,5.25,6.5,2
39,6.75,5.5,1.75
40,6.75,6.75,5.5
41,7,3.75,4
42,6.25,4.5,3.5
43,5.5,3,3.5
44,7,7.75,4.25
45,5.25,6,0.75
46,6.5,7.75,4.75
47,6.25,7.25,5.5
48,7.5,8.75,4.5
49,6.75,8.5,7
50,7.5,5.5,1.75
51,8.5,7,2.5
52,7,9.25,7.75
53,7.75,5.5,2
54,8.75,9,7.25
56,6.75,4.25,3.25
57,7.75,6,5.25
58,6.5,6.75,2.75
59,7.5,3.75,3.25
60,6.5,5.5,3.5
62,7.75,9,8
63,7.75,7.5,4.25
64,6,6.25,3.75
65,7.75,8.25,5.5
66,7,7.25,6.25
68,5.5,7.5,4.25
69,7.25,3.25,2
70,7.25,3,1.5
72,8,7.75,6.5
73,5.25,7.5,2.5
74,5.75,5.75,2
76,6.75,6.25,5.25
77,4.5,4.75,3
78,6,4.75,3.5
79,7.75,5.5,2.75
80,7.25,6.75,3.75
82,6.75,8.5,6.25
83,6.75,5.75,4.75
84,6.25,7.75,3
85,7.25,8.25,4
87,7.5,6,5
88,7.75,8.25,5.75
89,8.25,6.5,5
90,8,8.5,6.5
91,2.5,5.5,3
92,5.75,7.25,1
93,4.25,7.5,4
94,6.25,8.25,3.75
95,7.75,3.25,4
96,5.25,7,2.75
98,7.5,7.5,5.5
100,8.5,7.25,3.5
101,8.25,8.75,4.25
102,7.5,3.25,1.5
103,8.5,8.5,6.5
104,8,8.25,6
105,7.75,8.75,5.5
106,8,8.25,5.5
107,8.25,8.5,5.75
108,7.5,7.5,6.5
109,8.5,9.5,7.25
111,7.75,7.75,3.25
112,8.25,6,5.25
114,7.75,7.5,3.5
116,7.25,9.75,6.75
117,6.75,8.5,7
118,5.5,6.25,1.5
119,6.25,7.5,5
120,6.25,3.5,1.75
121,6.5,3.75,3
122,7.25,9.75,5.75
123,6.75,5,3.75
124,6.75,7.5,7.75
125,7.5,4.75,4
127,7.25,7.5,4
128,8,7.75,7
129,8,6.5,3.75
130,5.25,4.25,3.5
131,8,9,7.25
132,4.75,6.5,3.25
133,7.25,6.75,6.5
134,7.75,7,7.5
135,5.75,4.25,3.5
136,7.75,7.25,6.5
137,7.75,6.25,6
138,7.25,8.25,5.5
139,6.75,2.75,5.25
140,7.25,8.5,2
141,7.25,7.5,6.25
142,7.75,3.75,3.75
143,8,8.75,6.25
144,7.75,8.5,7.25
146,7.25,7.25,6.25
147,6.75,9,4.5
148,7.5,6.75,2.75
149,7.25,6.5,4.25
150,8.25,6.75,3.75
151,7.75,8.75,7
152,8.75,8.5,3
153,9,8.25,3
154,7.5,8,4.25
155,8.75,7.5,6.75
156,4.25,9,6
157,6.5,7.75,1.5
158,6.25,6.5,3.5
159,8,7.5,5.5
160,9.25,7,4.25
161,6,4.5,2.25
162,7,8.5,5.75
163,7.25,8,5.5
165,7.5,7.5,1.5
166,8,7.5,4.25
167,8,7.25,5
168,6,7.25,2.5
169,5,5.75,3.5
170,6.75,8.75,6
171,6.75,3.75,3.75
172,6.75,8.75,4.5
173,7.75,8.25,5.5
174,8,8.25,5.75
175,6.25,7.75,7
176,7.5,8,4.25
177,7,7.75,3.75
178,7,7.5,5
179,6,5.25,0.75
180,7,6.5,5.5
181,7,6.75,5.5
182,5.5,5.5,3
183,8.25,9,4.25
185,7,7,3.25
186,6.5,9.5,6.5
187,6.75,7.5,3.75
188,7.75,9,7.25
189,7,8,6
190,7.25,9.25,7.75
191,7,8.25,6.5
192,6.5,8.5,5.5
193,6.25,4.75,3.25
194,6.25,4.5,2.5
196,8.25,9.25,7
197,6.5,3.75,1.5
198,6,5,1.25
200,7,6,1
201,7,8.75,4.5
202,5,4.75,2.25
203,6.5,4.25,2.75
204,6,8.25,6.5
205,6.5,4.75,2.75
206,8,8.5,7.75
208,6.75,7.25,5.5
209,7.25,9.25,7.75
210,6.5,7.5,3.75
211,6.75,8.25,3
212,7.75,9.25,5
213,7.75,7.5,6.75
214,6.5,4.5,2.25
215,7.5,8,3.75
216,6.25,5.5,4
217,6.25,7.25,2.5
218,7.75,7.75,2.25
219,7,9.5,6.5
220,7.5,8.5,6
221,6.25,7.25,5.25
222,7.25,9.75,7.5
223,7,5.25,4.5
224,6.5,6,5
225,5.25,8.75,2.75
226,7.5,9,8.25
227,7.5,8.25,5
228,8,8.5,7.25
229,8,6.25,0.5
230,7,7.25,4.75
232,7.75,8.25,7.75
234,6.5,7.5,3.25
235,6.5,5.5,2.5
236,6.25,8.25,3.5
237,7.5,6.75,5.5
238,7.25,9.25,5.25
239,7.75,4.75,3.75
240,7.75,8,8
241,6.75,5,4
242,7.75,5.25,4.5
243,7.75,3.75,3.75
244,6.5,4.25,3.5
245,8.25,8.5,7.25
246,7.25,6.75,4.5
247,7.5,5.5,3
248,6.5,4.25,2.5
249,5.75,7.75,4
250,6.5,9.25,3
251,8.5,9,8
252,7.5,6.75,7
