"CountryCode","CountryName","IndicatorName","IndicatorCode","Year","Perct","Region","IncomeGroup"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1990,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1992,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1994,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1998,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2015,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2011,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2003,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1997,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1991,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2001,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1995,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2005,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2006,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2004,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2000,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1996,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2007,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2002,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1993,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2013,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2008,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",1999,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2012,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2010,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2009,2.33,"Latin America & Caribbean","High income"
"ABW","Aruba","Forest area (% of land area)","AG.LND.FRST.ZS",2014,2.33,"Latin America & Caribbean","High income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2002,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1995,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1997,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2005,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1998,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2015,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2008,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2003,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2011,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1992,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2001,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2006,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1994,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2013,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1999,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1993,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2014,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1990,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2000,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1996,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2007,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2012,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2004,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",1991,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2009,2.07,"South Asia","Low income"
"AFG","Afghanistan","Forest area (% of land area)","AG.LND.FRST.ZS",2010,2.07,"South Asia","Low income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1991,48.81,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2008,47.11,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2013,46.61,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1999,48.01,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2005,47.41,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2014,46.51,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2009,47.01,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2010,46.91,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2006,47.31,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2000,47.91,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2004,47.51,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2001,47.81,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2011,46.81,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1993,48.61,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1995,48.41,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1997,48.21,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1992,48.71,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1994,48.51,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1998,48.11,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2002,47.71,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2012,46.71,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1996,48.31,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",1990,48.91,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2015,46.41,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2003,47.61,"Sub-Saharan Africa","Upper middle income"
"AGO","Angola","Forest area (% of land area)","AG.LND.FRST.ZS",2007,47.21,"Sub-Saharan Africa","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2001,28.17,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2004,28.46,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2013,28.23,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2003,28.36,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2009,28.38,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2006,28.51,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2012,28.26,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2014,28.19,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2002,28.27,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2010,28.33,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1992,28.65,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2008,28.42,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2000,28.08,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2011,28.3,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2005,28.55,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1991,28.72,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1993,28.57,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1990,28.79,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2007,28.47,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1994,28.5,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1998,28.22,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",2015,28.16,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1995,28.43,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1997,28.29,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1996,28.36,"Europe & Central Asia","Upper middle income"
"ALB","Albania","Forest area (% of land area)","AG.LND.FRST.ZS",1999,28.15,"Europe & Central Asia","Upper middle income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2001,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",1998,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2002,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2014,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2008,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2009,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2005,34.04,"Europe & Central Asia","High income"
"AND","Andorra","Forest area (% of land area)","AG.LND.FRST.ZS",2013,34.04,"Europe & Central Asia","High income"
