"date","min_temp","max_temp","max_steady_wind","max_wind_gust","precipitation","snow_depth","pressure","description"
"1958-12-18","15","26","22",NA,"0",NA,"1013.9",NA
"1959-01-07","10","13",NA,NA,NA,NA,"1014.2","Rain"
"1959-01-16","12","17",NA,NA,"0",NA,"1028.5",NA
"1959-01-19","9","15","26",NA,NA,NA,"1024.8","Rain"
"1959-01-31","16","19","15",NA,NA,NA,"1016.9","Rain"
"1959-02-12","14","24",NA,NA,NA,NA,"1011.8","Rain"
"1959-03-13","16","19",NA,NA,NA,NA,NA,"Rain"
"1959-04-03","21","28",NA,NA,"0",NA,NA,NA
"1959-04-09","22","27",NA,NA,NA,NA,"1005.9","Rain"
"1959-04-20","22","29","15",NA,"0",NA,"1006",NA
"1959-04-21","22","29","11",NA,"0",NA,"1006.2",NA
"1959-04-24","22","30",NA,NA,"0",NA,"1001.6",NA
"1959-04-27","21","31","11",NA,"0",NA,"1010.2",NA
"1959-05-01","18","31","50",NA,"0",NA,"1011.4",NA
"1959-05-02","21","31","29",NA,"0",NA,NA,NA
"1959-05-04","24","35","22",NA,"0",NA,"1001.3",NA
"1959-05-14","27","31","29",NA,"0",NA,NA,NA
"1959-06-18","27","36","15",NA,"0",NA,"1001.4",NA
"1959-06-22","21","29","15",NA,NA,NA,"1006.1","Rain"
"1959-06-23","24","34","15",NA,NA,NA,"1005","ThunderstormRain"
"1959-07-14","24","33","8",NA,"0",NA,"999.2",NA
"1959-09-01","26","32","15",NA,"0",NA,NA,NA
"1959-09-05","23","30","11",NA,NA,NA,"1005.1","ThunderstormRain"
"1959-10-08","20","30","11",NA,"0",NA,"1012.1",NA
"1959-10-18","16","30","8",NA,"0",NA,"1013.8",NA
"1959-10-19","21","30","15",NA,"0",NA,"1015.3",NA
"1959-10-20","16","29","8",NA,"0",NA,NA,NA
"1959-10-21","19","30","11",NA,"0",NA,"1015.6",NA
"1959-10-22","20","29","11",NA,"0",NA,"1017.3",NA
"1959-10-24","20","30","15",NA,"0",NA,"1017.9",NA
"1959-10-26","20","29","15",NA,"0",NA,"1017.3",NA
"1959-10-28","22","30",NA,NA,"0",NA,"1013.7",NA
"1959-11-02","26","34","11",NA,"0",NA,"1009.9",NA
"1959-11-16","18","22","22",NA,"0",NA,"1014.6",NA
"1959-11-17","19","26","8",NA,"0",NA,"1011.7",NA
"1959-11-18","20","29","15",NA,"0",NA,"1011.8",NA
"1959-11-19","21","30","11",NA,"0",NA,"1012.4",NA
"1959-11-20","22","31",NA,NA,"0",NA,"1013.4",NA
"1959-11-23","19","28","15",NA,NA,NA,"1015.2","Rain"
"1959-11-24","20","30",NA,NA,"0",NA,"1016.2",NA
"1959-11-26","15","19","35",NA,NA,NA,"1022.9","Rain"
"1959-11-27","15","19","22",NA,"0",NA,"1021.9",NA
"1959-11-28","15","23","11",NA,"0",NA,"1019.2",NA
"1959-12-08","15","20",NA,NA,"0",NA,"1017.5",NA
"1959-12-09","17","21","8",NA,NA,NA,"1014.1","Rain"
"1959-12-10","19","22","11",NA,NA,NA,"1015","Rain"
"1959-12-12","19","28","15",NA,"0",NA,"1015.3",NA
"1959-12-27","14","16","11",NA,"0",NA,"1020.8",NA
"1959-12-30","16","19","22",NA,NA,NA,"1020","Rain"
"1959-12-31","13","16","35",NA,"0",NA,"1025.4",NA
"1960-01-01","11","20","22",NA,"0",NA,"1028.8",NA
"1960-01-02","6","21","8",NA,"0",NA,"1027.7",NA
"1960-01-03","8","22","11",NA,"0",NA,"1016.3",NA
"1960-01-04","9","21","4",NA,"0",NA,"1012.2",NA
"1960-01-05","15","21","15",NA,"0",NA,"1016.5",NA
