date,min_temp,max_temp,max_steady_wind,max_wind_gust,precipitation,snow_depth,pressure,description
2000-01-01,17,23,11,NA,0,NA,NA,NA
2000-01-02,17,25,14,NA,0,NA,NA,NA
2000-01-03,16,25,14,NA,0,NA,NA,NA
2000-01-04,18,24,22,NA,0,NA,NA,FogRain
2000-01-05,20,26,18,NA,0.7,NA,1010.9,NA
2000-01-06,20,28,22,NA,0,NA,NA,NA
2000-01-07,19,23,18,NA,0.7,NA,1013.8,Rain
2000-01-08,19,25,22,NA,1,NA,1011.7,Rain
2000-01-09,20,27,25,NA,1.5,NA,NA,Rain
2000-01-10,20,26,25,NA,1.5,NA,NA,Rain
2000-01-11,21,28,25,NA,0.7,NA,NA,Rain
2000-01-12,21,28,22,NA,0,NA,NA,NA
2000-01-13,18,25,29,NA,0.7,NA,NA,Rain
2000-01-14,18,23,25,NA,1.5,NA,1009.9,NA
2000-01-15,21,29,29,NA,0,NA,NA,NA
2000-01-16,16,28,25,NA,0,NA,NA,Rain
2000-01-17,13,17,25,NA,0.7,NA,NA,Rain
2000-01-18,12,16,18,NA,0.7,NA,NA,NA
2000-01-19,13,17,11,NA,0,NA,NA,NA
2000-01-20,12,15,18,NA,0,NA,NA,NA
2000-01-21,12,14,11,NA,1.2,NA,NA,Rain
2000-01-22,13,19,11,NA,0.5,NA,NA,Rain
2000-01-23,16,23,14,NA,0,NA,1016.2,NA
2000-01-24,17,24,32,NA,0,NA,NA,NA
2000-01-25,14,19,29,NA,0.2,NA,NA,Rain
2000-01-26,12,16,22,NA,0,NA,NA,NA
2000-01-27,11,16,18,NA,0,NA,NA,NA
2000-01-28,11,15,14,NA,0,NA,NA,NA
2000-01-29,12,13,22,NA,0,NA,NA,NA
2000-01-30,11,14,18,NA,0.7,NA,1029.4,NA
2000-01-31,9,12,18,NA,0.7,NA,NA,Rain
2000-02-01,9,17,11,NA,0,NA,NA,NA
2000-02-02,10,19,11,NA,0,NA,NA,NA
2000-02-03,12,22,14,NA,0,NA,1018.2,NA
2000-02-04,14,21,14,NA,0,NA,1017.9,Rain
2000-02-05,14,19,22,NA,0.2,NA,NA,Rain
2000-02-06,13,17,18,NA,0,NA,NA,NA
2000-02-07,14,18,25,NA,0,NA,NA,NA
2000-02-08,14,19,14,NA,0,NA,1017.7,NA
2000-02-09,14,19,11,NA,0,NA,1016.2,NA
2000-02-10,14,20,11,NA,0,NA,1014.3,Rain
2000-02-11,15,20,18,NA,0.7,NA,NA,Rain
2000-02-12,18,24,22,NA,0,NA,1011.4,Rain
2000-02-13,18,28,18,NA,0,NA,NA,Rain
2000-02-14,18,23,22,NA,0.7,NA,NA,Rain
2000-02-15,15,19,22,NA,0,NA,NA,Rain
2000-02-16,13,17,79,NA,0.5,NA,1017.1,Rain
2000-02-17,13,16,14,NA,2,NA,1014.5,Rain
2000-02-18,15,19,7,NA,1.2,NA,1011.9,FogRain
2000-02-19,17,22,11,NA,1.5,NA,NA,FogRain
2000-02-20,16,28,25,NA,0.7,NA,NA,FogRain
2000-02-21,15,17,22,NA,2,NA,NA,Rain
2000-02-22,15,20,14,NA,3.8,NA,1010.8,Rain
2000-02-23,14,20,25,NA,1,NA,NA,Rain
2000-02-24,13,16,25,NA,1.5,NA,1017.5,Rain
2000-02-25,13,17,18,NA,1.2,NA,1021.9,ThunderstormRain
2000-02-26,11,15,22,NA,2.5,NA,NA,Rain
2000-02-27,10,12,14,NA,2,NA,1022.3,Rain
2000-02-28,9,15,18,NA,3.8,NA,1022.8,Rain
2000-02-29,10,12,18,NA,13.9,NA,1023.6,Rain
2000-03-01,9,12,11,NA,1,NA,NA,Rain
2000-03-02,11,17,7,NA,0.7,NA,NA,Rain
2000-03-03,14,19,14,NA,0.7,NA,NA,FogRain
2000-03-04,17,22,11,NA,1.2,NA,NA,Rain
2000-03-05,19,23,18,NA,0.7,NA,1011,Rain
2000-03-06,20,26,22,NA,0.7,NA,NA,NA
2000-03-07,19,26,22,NA,0,NA,NA,NA
2000-03-08,19,22,18,NA,0,NA,NA,Rain
2000-03-09,18,21,18,NA,9.1,NA,NA,Rain
2000-03-10,18,21,18,NA,3,NA,1011.7,Rain
2000-03-11,15,19,25,NA,7.6,NA,1011,Rain
2000-03-12,15,21,22,NA,1.5,NA,NA,Rain
2000-03-13,16,22,11,NA,1,NA,NA,Rain
2000-03-14,18,25,11,NA,0.7,NA,1011.8,Rain
2000-03-15,20,25,11,NA,0,NA,NA,Rain
2000-03-16,19,27,18,NA,1,NA,NA,FogRain
2000-03-17,18,20,14,NA,0.2,NA,NA,Rain
2000-03-18,18,21,14,NA,3,NA,NA,Rain
2000-03-19,19,21,11,NA,2.7,NA,NA,Rain
2000-03-20,20,22,14,NA,3,NA,1011,Rain
2000-03-21,21,26,22,NA,0.7,NA,NA,NA
2000-03-22,22,26,18,NA,0,NA,NA,Rain
2000-03-23,19,27,22,NA,1.5,NA,NA,Rain
2000-03-24,18,20,25,NA,0.7,NA,NA,Rain
2000-03-25,16,20,18,NA,0,NA,NA,Rain
2000-03-26,17,22,14,NA,0.7,NA,NA,NA
2000-03-27,17,27,14,NA,0,NA,1016.3,NA
2000-03-28,18,29,14,NA,0,NA,NA,NA
2000-03-29,17,31,14,NA,0,NA,NA,NA
2000-03-30,20,29,22,NA,0,NA,NA,Rain
2000-03-31,21,28,22,NA,1.5,NA,NA,Rain
2000-04-01,23,31,18,NA,0,NA,NA,Rain
