"province","y2005","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","region"
"CẢ NƯỚC",96.8,96.9,97.2,97.8,97.8,97.8,97.8,97.7,97.4,97.3,97.5,97.5,"CẢ NƯỚC"
"Đồng bằng sông Hồng",96.3,96.3,96.1,96.8,96.7,97.5,96.6,97.1,96.2,96.5,96.7,97,"Đồng bằng sông Hồng"
"Hà Nội",100.2,100.5,95.9,96.6,95.9,97.8,95.4,96.4,95,95.6,96.2,96.7,"Đồng bằng sông Hồng"
"Hà Tây",94.2,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Đồng bằng sông Hồng"
"Vĩnh Phúc",98.1,98.1,98.1,97.6,97.6,97.6,97.6,97.6,96.8,96.8,96.8,97.8,"Đồng bằng sông Hồng"
"Bắc Ninh",94.6,94.9,95.8,96.4,96.9,96.7,96.8,96.6,96.7,96.8,96.8,95.8,"Đồng bằng sông Hồng"
"Quảng Ninh",103.7,102.6,103.7,104.3,104.8,105.4,103.4,106,100.5,100.5,100.5,101.9,"Đồng bằng sông Hồng"
"Hải Dương",95.1,95.5,95.6,95.8,96.1,96.1,96.1,95.7,95.8,95.9,96,96.1,"Đồng bằng sông Hồng"
"Hải Phòng",97.7,97.7,98.1,98.4,98.4,98.5,98.6,98.7,98.7,98.8,98.9,99,"Đồng bằng sông Hồng"
"Hưng Yên",94.2,93.6,93.5,96,96.6,97.1,97.5,97.6,97.3,97,96.6,96.3,"Đồng bằng sông Hồng"
"Thái Bình",92.3,92.5,93.1,93.3,93.4,94.6,93.8,93.7,93.7,93.6,93.6,93.6,"Đồng bằng sông Hồng"
"Hà Nam",93.7,94.1,94.5,95.4,95.4,95.5,96.1,96.8,97.3,97.7,97.8,97.9,"Đồng bằng sông Hồng"
"Nam Định",94.9,95.3,94.5,95.8,95.8,95.8,95.8,96,96.1,96.2,96.1,96.1,"Đồng bằng sông Hồng"
"Ninh Bình",95.4,96.9,97.9,98.7,98.9,99.1,99.3,99.1,96.2,99.5,99.6,99.7,"Đồng bằng sông Hồng"
"Trung du và miền núi phía Bắc",98.6,98.8,98.6,99.3,100.6,99.4,99.3,99,99.3,99.1,99,98.4,"Trung du và miền núi phía Bắc"
"Hà Giang",98.1,98.1,98.1,100.3,99.9,99.8,99.9,100.6,100.4,101.4,101.4,101.5,"Trung du và miền núi phía Bắc"
"Cao Bằng",96.1,96.4,96.4,98.5,98.4,98.3,98.1,98,98,97.8,98.2,98.7,"Trung du và miền núi phía Bắc"
"Bắc Kạn",99.9,100.3,101.2,101.6,102.1,102.6,102.4,103.1,101,98.9,96.9,95,"Trung du và miền núi phía Bắc"
"Tuyên Quang",97.8,98.1,97.7,100.4,100.3,100.5,100.1,99.7,98.7,97.8,96.8,95.9,"Trung du và miền núi phía Bắc"
"Lào Cai",99.1,100,100.8,101.3,101.4,101.3,101.3,101,102.4,102.2,102.1,102.2,"Trung du và miền núi phía Bắc"
"Yên Bái",99.1,98.9,99.4,99.9,100,99.7,99.3,99.4,99.5,99.8,99.9,99.8,"Trung du và miền núi phía Bắc"
"Thái Nguyên",100.1,99.9,99.4,97.8,108.6,97.2,97.2,97.2,97.2,96.6,96.6,96.6,"Trung du và miền núi phía Bắc"
"Lạng Sơn",98.5,98.9,99.2,99.1,99.3,99.6,99.8,99.6,100,100.3,100.5,100.5,"Trung du và miền núi phía Bắc"
"Bắc Giang",97.8,97.8,98.6,98.3,99.3,98.5,98.4,96.6,98.7,98.7,98.7,98.7,"Trung du và miền núi phía Bắc"
"Phú Thọ",96.8,96.7,97.1,96.7,97.6,97.3,97.3,97.3,97.3,97.3,97.3,97.4,"Trung du và miền núi phía Bắc"
"Điện Biên",100.6,100.7,100.7,100.1,100.1,100.1,100.2,100.3,100.2,100,100,100.2,"Trung du và miền núi phía Bắc"
"Lai Châu",101.3,101.1,102.8,104.6,104.9,104.7,104.9,103,101.1,99.2,97.5,95.7,"Trung du và miền núi phía Bắc"
"Sơn La",100.8,101.1,98.5,101.1,101,101,101,101.2,101.5,101.2,101,96.2,"Trung du và miền núi phía Bắc"
"Hòa Bình",98.2,98.9,95.2,98.5,98.4,98.3,98.2,97.7,98.5,98.5,99.7,99.9,"Trung du và miền núi phía Bắc"
"Bắc Trung Bộ và duyên hải miền Trung",96.6,96.7,97.3,97.8,97.8,97.9,97.9,97.8,97.9,98.1,98.4,98.8,"Bắc Trung Bộ và duyên hải miền Trung"
"Thanh Hóa",95.9,96.2,98.1,97.7,97.7,97.7,97.6,97.2,97.9,98.6,99.3,100.1,"Bắc Trung Bộ và duyên hải miền Trung"
"Nghệ An",96.5,96.2,97.6,98.6,98.5,98.5,98.4,98,98.7,99.3,100,99.6,"Bắc Trung Bộ và duyên hải miền Trung"
"Hà Tĩnh",97.6,98.6,92.3,97.8,97.8,97.8,97.7,97,96.5,96.5,96.6,96.8,"Bắc Trung Bộ và duyên hải miền Trung"
"Quảng Bình",98.8,99.3,99.9,100.4,100.1,100.1,100.1,100.2,100.2,100.2,100.2,100.2,"Bắc Trung Bộ và duyên hải miền Trung"
"Quảng Trị",97.9,97.8,98.4,97.4,97.7,97.9,98.1,97.3,97.1,97.2,96.4,96.6,"Bắc Trung Bộ và duyên hải miền Trung"
"Thừa Thiên - Huế",96.2,96.5,96.9,97.7,98.1,98,97.8,97.6,98.1,98.4,98.8,99.4,"Bắc Trung Bộ và duyên hải miền Trung"
"Đà Nẵng",96.6,93.7,96.7,97.3,94.8,95.7,97.3,97.3,96.6,96.6,97.1,97.6,"Bắc Trung Bộ và duyên hải miền Trung"
"Quảng Nam",93.8,93.9,94.5,95,95.3,95.6,95.7,95.7,95.7,95.7,95.7,95.7,"Bắc Trung Bộ và duyên hải miền Trung"
"Quảng Ngãi",95.8,96.3,96.8,97.2,97.3,97.3,97.3,97.4,97.1,96.8,97.6,102.4,"Bắc Trung Bộ và duyên hải miền Trung"
"Bình Định",95,95.2,95.4,95.1,95.1,95.1,95.1,95.1,95.5,95.5,95.5,95.5,"Bắc Trung Bộ và duyên hải miền Trung"
"Phú Yên",98.2,98.5,99.4,100.2,100.2,100.2,100.2,100.2,100.1,100.1,100,100.2,"Bắc Trung Bộ và duyên hải miền Trung"
"Khánh Hòa",98.3,98.6,98.5,97.5,97.8,98,97.7,97.9,97.6,97.2,96.9,96.9,"Bắc Trung Bộ và duyên hải miền Trung"
"Ninh Thuận",97.4,97.9,98.6,99.4,100.1,100.9,101.6,101.9,101.8,101.8,101.8,101.8,"Bắc Trung Bộ và duyên hải miền Trung"
"Bình Thuận",99.2,99.5,100.8,100.3,100.6,100.9,101.1,100.9,100.2,100.2,100.2,100.2,"Bắc Trung Bộ và duyên hải miền Trung"
