Camry 2.5Q,Toyota,Sedan,Lắp ráp,1.383,1.354,2.5 I4 Dual VVT-i,178,231
Camry 2.5G,Toyota,Sedan,Lắp ráp,1.236,1.218,2.5 I4 Dual VVT-i,178,231
Camry 2.0E,Toyota,Sedan,Lắp ráp,1.098,1.075,2.0 I4 VVT-i,165,199
Altis 1.8AT,Toyota,Sedan,Lắp ráp,797,750,1.8 I4 Dual VVT-i,138,173
Altis 1.8MT,Toyota,Sedan,Lắp ráp,747,726,1.8 I4 Dual VVT-i,138,173
Altis 2.0,Toyota,Sedan,Lắp ráp,933,877,2.0 I4Dual VVT-i,143,187
Vios 1.5G CVT,Toyota,Sedan,Lắp ráp,622,620,1.5 I4 Dual VVT-i,107,141
Vios 1.5E CVT,Toyota,Sedan,Lắp ráp,588,584,1.5 I4 Dual VVT-i,107,141
Vios 1.5E MT,Toyota,Sedan,Lắp ráp,564,562,1.5 I4 Dual VVT-i,107,141
Vios Limo,Toyota,Sedan,Lắp ráp,532,530,1.3 I4 VVT-i,84,121
Yaris E,Toyota,Hatchback,Nhập khẩu,592,580,1.3 I4 VVT-i,84,121
Yaris G,Toyota,Hatchback,Nhập khẩu,642,637,1.3 I4 VVT-i,84,121
Innova G,Toyota,MPV,Lắp ráp,859,859,2.0 I4 Dual VVT-i,137,183
Innova E,Toyota,MPV,Lắp ráp,793,793,2.0 I4 Dual VVT-i,137,183
Innova V,Toyota,MPV,Lắp ráp,995,971,2.0 I4 Dual VVT-i,137,183
Fortuner 2.7V (4x4),Toyota,SUV,Lắp ráp,1.308,1.303,2.7 I4 VVT-i,164,245
Fortuner 2.7V (4x2),Toyota,SUV,Lắp ráp,1.149,1.143,2.7 I4 VVT-i,164,245
Fortuner 2.4G,Toyota,SUV,Lắp ráp,981,981,2.4 I4 common rail,148,400
Land Cruiser 200,Toyota,SUV,Nhập khẩu,3.65,3.577,4.6 V8 VVT-i kép,304,439
Land Prado,Toyota,SUV,Nhập khẩu,2.167,2.123,2.7 I4 Dual VVT-i,164,246
Hilux 2.8G 4x4 AT,Toyota,Pick-up,Nhập khẩu,870,852,2.8 I4 diesel,174,450
Hilux 2.8G 4x4 MT,Toyota,Pick-up,Nhập khẩu,806,787,2.8 I4 diesel,174,450
Hilux 2.4E 4x2 MT,Toyota,Pick-up,Nhập khẩu,697,683,2.4 I4 diesel,147,400
Civic 1.5 Turbo,Honda,Sedan,Nhập khẩu,950,932,1.5 I4 Turbo,170,220
CR-V 2.0AT,Honda,SUV,Lắp ráp,1.008,986,2.0 I4 i-VTEC,153,190
CR-V 2.4AT,Honda,SUV,Lắp ráp,1.158,1.131,2.35 I4 i-VTEC,188,222
City 1.5MT,Honda,Sedan,Lắp ráp,533,518,1.5 I4 i-VTEC,118,145
City 1.5AT,Honda,Sedan,Lắp ráp,583,567,1.5 I4 i-VTEC,118,145
Accord,Honda,Sedan,Nhập khẩu,1.39,1.387,2.4 I4 i-VTEC,173,225
Odyssey,Honda,MPV,Nhập khẩu,1.99,1.95,2.4 I4 i-VTEC,173,255
Grand i10 1.0 Base,Hyundai,Hatchback,Nhập khẩu,359,346,1.0 Kappa,65,94
Grand i10 Hatchback 1.0 MT,Hyundai,Hatchback,Nhập khẩu,387,381,1.0 Kappa,65,94
Grand i10 Hatchback 1.0 AT,Hyundai,Hatchback,Nhập khẩu,417,407,1.0 Kappa,65,94
Grand i10 Hatchback 1.2 Base,Hyundai,Hatchback,Nhập khẩu,387,372,1.2 Kappa,86,120
Grand i10 Hatchback 1.2 MT,Hyundai,Hatchback,Nhập khẩu,429,420,1.2 Kappa,86,120
Grand i10 Hatchback 1.2 AT,Hyundai,Hatchback,Nhập khẩu,457,449,1.2 Kappa,86,120
Grand i10 Sedan MT,Hyundai,Sedan,Nhập khẩu,439,432,1.2 Kappa,86,120
Grand i10 Sedan AT,Hyundai,Sedan,Nhập khẩu,479,468,1.2 Kappa,86,120
i20 Active Hatchback,Hyundai,Hatchback,Nhập khẩu,619,592,1.4 Kappa MPI,100,133
Accent Blue Sedan MT,Hyundai,Sedan,Nhập khẩu,551,524,1.4 DOHC,100,133
Accent Blue Sedan AT,Hyundai,Sedan,Nhập khẩu,599,571,1.4 DOHC,100,133
Accent Blue Hatchback,Hyundai,Sedan,Nhập khẩu,569,542,1.4 DOHC,100,133
Elantra 1.6 MT,Hyundai,Sedan,Lắp ráp,615,587,Gamma 1.6 D-CVVT,128,155
Elantra 1.6 AT,Hyundai,Sedan,Lắp ráp,689,665,Gamma 1.6 D-CVVT,128,155
Elantra 2.0 AT,Hyundai,Sedan,Lắp ráp,739,710,Nu 1.8D-CVVT,156,196
Sonata,Hyundai,Sedan,Nhập khẩu,1.073,1.019,2.0 Dual CVVT,155,196
Creta xăng,Hyundai,SUV,Nhập khẩu,806,792,1.6 xăng,121,151
Creta dầu,Hyundai,SUV,Nhập khẩu,846,830,1.6 diesel,126,260
Tucson 2WD,Hyundai,SUV,Nhập khẩu,925,902,2.0 Nu MPI,154,196
Tucson 2WD Limited,Hyundai,SUV,Nhập khẩu,995,981,2.0 Nu MPI,154,196
SantaFe 2016 Gas 2WD,Hyundai,SUV,Lắp ráp,1.1,1.074,Theta II 2.4 MPI,174,226
SantaFe 2016 Gas Limited 4WD,Hyundai,SUV,Lắp ráp,1.25,1.226,Theta II 2.4 MPI,174,226
SantaFe 2016 Diesel 2WD,Hyundai,SUV,Lắp ráp,1.15,1.122,R 2.2 eVGT,199,441
SantaFe 2016 Diesel Limited 4WD,Hyundai,SUV,Lắp ráp,1.3,1.275,R 2.2 eVGT,199,441
Sunny XL,Nissan,Sedan,Lắp ráp,498,491,1.5 I4 HR15,99,134
Sunny XV,Nissan,Sedan,Lắp ráp,538,522,1.5 I4 HR15,99,134
Teana 2.5 SL,Nissan,Sedan,Nhập khẩu,1.3,1.287,2.5 I4 QR25,180,243
