Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2015-12-09 05:00 AM,2015,12,09,05,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 06:00 AM,2015,12,09,06,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 07:00 AM,2015,12,09,07,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 08:00 AM,2015,12,09,08,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 09:00 AM,2015,12,09,09,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 10:00 AM,2015,12,09,10,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 11:00 AM,2015,12,09,11,77.3,UG/M3,1 Hr,Suspect
Hanoi,PM2.5 - Principal,2015-12-09 12:00 PM,2015,12,09,12,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 01:00 PM,2015,12,09,13,0.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2015-12-09 02:00 PM,2015,12,09,14,90.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 03:00 PM,2015,12,09,15,89.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 04:00 PM,2015,12,09,16,85.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 05:00 PM,2015,12,09,17,77.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 06:00 PM,2015,12,09,18,85.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 07:00 PM,2015,12,09,19,89.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 08:00 PM,2015,12,09,20,110.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 09:00 PM,2015,12,09,21,100.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 10:00 PM,2015,12,09,22,86.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-09 11:00 PM,2015,12,09,23,76.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 12:00 AM,2015,12,10,00,83.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 01:00 AM,2015,12,10,01,120.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 02:00 AM,2015,12,10,02,108.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 03:00 AM,2015,12,10,03,62.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 04:00 AM,2015,12,10,04,49.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 05:00 AM,2015,12,10,05,42.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 06:00 AM,2015,12,10,06,47.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 07:00 AM,2015,12,10,07,43.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 08:00 AM,2015,12,10,08,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2015-12-10 09:00 AM,2015,12,10,09,36.1,UG/M3,1 Hr,Valid
