Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2016-12-01 01:00 AM,2016,12,01,01,114,3,40.8,34.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 02:00 AM,2016,12,01,02,113,3,40.3,27.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 03:00 AM,2016,12,01,03,113,3,40.2,30.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 04:00 AM,2016,12,01,04,113,3,40.5,27.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 05:00 AM,2016,12,01,05,114,3,40.7,73.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 06:00 AM,2016,12,01,06,115,3,41.1,41.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 07:00 AM,2016,12,01,07,116,3,41.6,60.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 08:00 AM,2016,12,01,08,116,3,41.6,35.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 09:00 AM,2016,12,01,09,115,3,41.3,30.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 10:00 AM,2016,12,01,10,118,3,42.3,25.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 11:00 AM,2016,12,01,11,123,3,44.5,26.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 12:00 PM,2016,12,01,12,130,3,47.1,30.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 01:00 PM,2016,12,01,13,133,3,48.5,33.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 02:00 PM,2016,12,01,14,136,3,49.6,34.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 03:00 PM,2016,12,01,15,138,3,50.7,37.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 04:00 PM,2016,12,01,16,146,3,53.9,39.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 05:00 PM,2016,12,01,17,152,4,57.5,44.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 06:00 PM,2016,12,01,18,153,4,58.6,54.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 07:00 PM,2016,12,01,19,154,4,60.6,58.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 08:00 PM,2016,12,01,20,154,4,60.9,66.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 09:00 PM,2016,12,01,21,154,4,61.9,81.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 10:00 PM,2016,12,01,22,155,4,63.2,98.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-01 11:00 PM,2016,12,01,23,156,4,65.3,105.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 12:00 AM,2016,12,02,00,156,4,65.8,68.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 01:00 AM,2016,12,02,01,157,4,66.3,60.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 02:00 AM,2016,12,02,02,157,4,66.5,53.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 03:00 AM,2016,12,02,03,157,4,66.9,108.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 04:00 AM,2016,12,02,04,158,4,68.2,113.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 05:00 AM,2016,12,02,05,158,4,69.6,101.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 06:00 AM,2016,12,02,06,158,4,69.5,87.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 07:00 AM,2016,12,02,07,158,4,69.6,69.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 08:00 AM,2016,12,02,08,158,4,69.9,59.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 09:00 AM,2016,12,02,09,159,4,70.7,61.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 10:00 AM,2016,12,02,10,160,4,72.0,76.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 11:00 AM,2016,12,02,11,160,4,72.4,38.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 12:00 PM,2016,12,02,12,160,4,72.4,41.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 01:00 PM,2016,12,02,13,161,4,74.4,37.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 02:00 PM,2016,12,02,14,163,4,78.5,44.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 03:00 PM,2016,12,02,15,166,4,84.2,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2016-12-02 04:00 PM,2016,12,02,16,168,4,88.7,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2016-12-02 05:00 PM,2016,12,02,17,171,4,94.2,43.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 06:00 PM,2016,12,02,18,172,4,96.7,55.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 07:00 PM,2016,12,02,19,172,4,96.9,64.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 08:00 PM,2016,12,02,20,173,4,98.1,83.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 09:00 PM,2016,12,02,21,173,4,98.6,110.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 10:00 PM,2016,12,02,22,174,4,100.1,107.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-02 11:00 PM,2016,12,02,23,175,4,102.6,107.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-03 12:00 AM,2016,12,03,00,177,4,106.5,112.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-03 01:00 AM,2016,12,03,01,179,4,108.9,149.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-03 02:00 AM,2016,12,03,02,180,4,111.3,178.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-03 03:00 AM,2016,12,03,03,181,4,112.9,207.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-12-03 04:00 AM,2016,12,03,04,180,4,111.0,236.2,UG/M3,1 Hr,Valid
