Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2019-09-01 01:00 AM,2019,09,01,01,9.0,38,Good,8.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 02:00 AM,2019,09,01,02,8.0,33,Good,7.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 03:00 AM,2019,09,01,03,12.5,52,Moderate,17.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 04:00 AM,2019,09,01,04,10.7,45,Good,9.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 05:00 AM,2019,09,01,05,11.3,47,Good,12.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 06:00 AM,2019,09,01,06,10.1,42,Good,9.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 07:00 AM,2019,09,01,07,9.0,38,Good,8.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 08:00 AM,2019,09,01,08,12.0,50,Good,15.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 09:00 AM,2019,09,01,09,10.5,44,Good,9.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 10:00 AM,2019,09,01,10,9.2,38,Good,8.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 11:00 AM,2019,09,01,11,8.1,34,Good,7.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 12:00 PM,2019,09,01,12,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 01:00 PM,2019,09,01,13,7.7,32,Good,8.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 02:00 PM,2019,09,01,14,7.3,30,Good,7.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 03:00 PM,2019,09,01,15,8.6,36,Good,10.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 04:00 PM,2019,09,01,16,7.3,30,Good,6.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 05:00 PM,2019,09,01,17,9.1,38,Good,11.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 06:00 PM,2019,09,01,18,13.5,54,Moderate,18.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 07:00 PM,2019,09,01,19,18.7,65,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 08:00 PM,2019,09,01,20,20.8,69,Moderate,23.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-09-01 09:00 PM,2019,09,01,21,23.9,76,Moderate,27.0,UG/M3,1 Hr,Valid
