"AD","Full.flowering.date..DOY.","Full.flowering.date","Source.code","Data.type.code","Reference.Name","blossom.date","common.date"
801,NA,NA,NA,NA,"-",NA,NA
802,NA,NA,NA,NA,"-",NA,NA
803,NA,NA,NA,NA,"-",NA,NA
804,NA,NA,NA,NA,"-",NA,NA
805,NA,NA,NA,NA,"-",NA,NA
806,NA,NA,NA,NA,"-",NA,NA
807,NA,NA,NA,NA,"-",NA,NA
808,NA,NA,NA,NA,"-",NA,NA
809,NA,NA,NA,NA,"-",NA,NA
810,NA,NA,NA,NA,"-",NA,NA
811,NA,NA,NA,NA,"-",NA,NA
812,92,401,1,2,"NIHON-KOKI",812-04-01,2000-04-01
813,NA,NA,NA,NA,"-",NA,NA
814,NA,NA,NA,NA,"-",NA,NA
815,105,415,1,2,"NIHON-KOKI",815-04-15,2000-04-15
816,NA,NA,NA,NA,"-",NA,NA
817,NA,NA,NA,NA,"-",NA,NA
818,NA,NA,NA,NA,"-",NA,NA
819,NA,NA,NA,NA,"-",NA,NA
820,NA,NA,NA,NA,"-",NA,NA
821,NA,NA,NA,NA,"-",NA,NA
822,NA,NA,NA,NA,"-",NA,NA
823,NA,NA,NA,NA,"-",NA,NA
824,NA,NA,NA,NA,"-",NA,NA
825,NA,NA,NA,NA,"-",NA,NA
826,NA,NA,NA,NA,"-",NA,NA
827,NA,NA,NA,NA,"-",NA,NA
828,NA,NA,NA,NA,"-",NA,NA
829,NA,NA,NA,NA,"-",NA,NA
830,NA,NA,NA,NA,"-",NA,NA
831,96,406,1,2,"NIHON-KOKI",831-04-06,2000-04-06
832,NA,NA,NA,NA,"-",NA,NA
833,NA,NA,NA,NA,"-",NA,NA
834,NA,NA,NA,NA,"-",NA,NA
835,NA,NA,NA,NA,"-",NA,NA
836,NA,NA,NA,NA,"-",NA,NA
837,NA,NA,NA,NA,"-",NA,NA
838,NA,NA,NA,NA,"-",NA,NA
839,NA,NA,NA,NA,"-",NA,NA
840,NA,NA,NA,NA,"-",NA,NA
841,NA,NA,NA,NA,"-",NA,NA
842,NA,NA,NA,NA,"-",NA,NA
843,NA,NA,NA,NA,"-",NA,NA
844,NA,NA,NA,NA,"-",NA,NA
845,NA,NA,NA,NA,"-",NA,NA
846,NA,NA,NA,NA,"-",NA,NA
847,NA,NA,NA,NA,"-",NA,NA
848,NA,NA,NA,NA,"-",NA,NA
849,NA,NA,NA,NA,"-",NA,NA
850,NA,NA,NA,NA,"-",NA,NA
851,108,418,1,2,"MONTOKUTENNO-JITSUROKU",851-04-18,2000-04-18
852,NA,NA,NA,NA,"-",NA,NA
853,104,414,1,2,"MONTOKUTENNO-JITSUROKU",853-04-14,2000-04-14
854,NA,NA,NA,NA,"-",NA,NA
855,NA,NA,NA,NA,"-",NA,NA
856,NA,NA,NA,NA,"-",NA,NA
857,NA,NA,NA,NA,"-",NA,NA
858,NA,NA,NA,NA,"-",NA,NA
859,NA,NA,NA,NA,"-",NA,NA
860,NA,NA,NA,NA,"-",NA,NA
861,NA,NA,NA,NA,"-",NA,NA
862,NA,NA,NA,NA,"-",NA,NA
863,NA,NA,NA,NA,"-",NA,NA
864,100,409,1,2,"NIPPON-SANDAI-JITSUROKU",864-04-09,2000-04-09
865,NA,NA,NA,NA,"-",NA,NA
866,106,416,1,2,"NIPPON-SANDAI-JITSUROKU",866-04-16,2000-04-16
867,NA,NA,NA,NA,"-",NA,NA
868,NA,NA,NA,NA,"-",NA,NA
869,95,405,5,2,"KANKE-BUNSOU",869-04-05,2000-04-05
870,NA,NA,NA,NA,"-",NA,NA
871,NA,NA,NA,NA,"-",NA,NA
872,NA,NA,NA,NA,"-",NA,NA
873,NA,NA,NA,NA,"-",NA,NA
874,NA,NA,NA,NA,"-",NA,NA
875,NA,NA,NA,NA,"-",NA,NA
876,NA,NA,NA,NA,"-",NA,NA
877,NA,NA,NA,NA,"-",NA,NA
878,NA,NA,NA,NA,"-",NA,NA
879,NA,NA,NA,NA,"-",NA,NA
880,NA,NA,NA,NA,"-",NA,NA
881,NA,NA,NA,NA,"-",NA,NA
882,NA,NA,NA,NA,"-",NA,NA
883,NA,NA,NA,NA,"-",NA,NA
884,NA,NA,NA,NA,"-",NA,NA
885,NA,NA,NA,NA,"-",NA,NA
886,NA,NA,NA,NA,"-",NA,NA
887,NA,NA,NA,NA,"-",NA,NA
888,NA,NA,NA,NA,"-",NA,NA
889,104,414,5,2,"NIPPON-SANDAI-JITSUROKU",889-04-14,2000-04-14
890,NA,NA,NA,NA,"-",NA,NA
891,109,419,5,4,"NIHONKIRYAKU",891-04-19,2000-04-19
892,108,417,5,3,"FUSHIMIIN-GOKIROKKU",892-04-17,2000-04-17
893,NA,NA,NA,NA,"-",NA,NA
894,106,416,5,2,"KANKE-BUNSOU",894-04-16,2000-04-16
895,104,414,5,4,"NIHONKIRYAKU",895-04-14,2000-04-14
896,104,413,5,4,"NIPPON-SANDAI-JITSUROKU",896-04-13,2000-04-13
897,NA,NA,NA,NA,"-",NA,NA
898,NA,NA,NA,NA,"-",NA,NA
899,NA,NA,NA,NA,"-",NA,NA
900,NA,NA,NA,NA,"-",NA,NA
901,NA,NA,NA,NA,"-",NA,NA
902,102,412,5,8,"EST-from-WF(NIHONGI-RYAKU)",902-04-12,2000-04-12
903,NA,NA,NA,NA,"-",NA,NA
904,NA,NA,NA,NA,"-",NA,NA
905,NA,NA,NA,NA,"-",NA,NA
906,NA,NA,NA,NA,"-",NA,NA
907,NA,NA,NA,NA,"-",NA,NA
908,98,407,5,8,"EST-from-WF(KIMITADA-SHU)",908-04-07,2000-04-07
909,NA,NA,NA,NA,"-",NA,NA
910,NA,NA,NA,NA,"-",NA,NA
911,NA,NA,NA,NA,"-",NA,NA
912,95,404,1,2,"SHINGISHIKI",912-04-04,2000-04-04
913,110,420,5,2,"SHUI-WAKASHU",913-04-20,2000-04-20
914,NA,NA,NA,NA,"-",NA,NA
915,NA,NA,NA,NA,"-",NA,NA
916,NA,NA,NA,NA,"-",NA,NA
917,95,405,1,2,"KINHISHO",917-04-05,2000-04-05
918,NA,NA,NA,NA,"-",NA,NA
919,NA,NA,NA,NA,"-",NA,NA
920,NA,NA,NA,NA,"-",NA,NA
921,NA,NA,NA,NA,"-",NA,NA
922,NA,NA,NA,NA,"-",NA,NA
923,104,414,5,4,"ZOKU-KOKIN-WAKASHU",923-04-14,2000-04-14
924,NA,NA,NA,NA,"-",NA,NA
925,NA,NA,NA,NA,"-",NA,NA
926,98,408,1,2,"NIHONKIRYAKU",926-04-08,2000-04-08
927,NA,NA,NA,NA,"-",NA,NA
928,NA,NA,NA,NA,"-",NA,NA
929,NA,NA,NA,NA,"-",NA,NA
930,97,407,5,8,"EST-from-WF(SHIRYO-SORAN)",930-04-07,2000-04-07
931,NA,NA,NA,NA,"-",NA,NA
932,NA,NA,NA,NA,"-",NA,NA
933,106,416,5,8,"EST-from-WF(SHIRYO-SORAN)",933-04-16,2000-04-16
934,NA,NA,NA,NA,"-",NA,NA
935,NA,NA,NA,NA,"-",NA,NA
936,NA,NA,NA,NA,"-",NA,NA
937,NA,NA,NA,NA,"-",NA,NA
938,NA,NA,NA,NA,"-",NA,NA
939,NA,NA,NA,NA,"-",NA,NA
940,NA,NA,NA,NA,"-",NA,NA
941,109,419,1,2,"NIHONKIRYAKU",941-04-19,2000-04-19
942,NA,NA,NA,NA,"-",NA,NA
943,NA,NA,NA,NA,"-",NA,NA
944,NA,NA,NA,NA,"-",NA,NA
945,NA,NA,NA,NA,"-",NA,NA
946,NA,NA,NA,NA,"-",NA,NA
947,NA,NA,NA,NA,"-",NA,NA
948,NA,NA,NA,NA,"-",NA,NA
949,107,417,1,2,"NIHONKIRYAKU",949-04-17,2000-04-17
950,95,405,4,2,"DAINIHON-SHIRYO",950-04-05,2000-04-05
951,NA,NA,NA,NA,"-",NA,NA
952,NA,NA,NA,NA,"-",NA,NA
953,NA,NA,NA,NA,"-",NA,NA
954,NA,NA,NA,NA,"-",NA,NA
955,89,330,5,4,"SHUISHO",955-03-30,2000-03-30
956,NA,NA,NA,NA,"-",NA,NA
957,112,422,1,2,"NIHONKIRYAKU",957-04-22,2000-04-22
958,109,419,1,2,"NIHONKIRYAKU",958-04-19,2000-04-19
959,97,407,3,2,"KYUREKI",959-04-07,2000-04-07
960,101,410,3,2,"KYUREKI",960-04-10,2000-04-10
961,87,328,1,2,"NIHONKIRYAKU",961-03-28,2000-03-28
962,NA,NA,NA,NA,"-",NA,NA
963,94,404,1,2,"NIHONKIRYAKU",963-04-04,2000-04-04
964,NA,NA,NA,NA,"-",NA,NA
965,104,414,1,2,"NIHONKIRYAKU",965-04-14,2000-04-14
966,98,408,1,2,"NIHONKIRYAKU",966-04-08,2000-04-08
967,103,413,1,2,"NIHONKIRYAKU",967-04-13,2000-04-13
968,NA,NA,NA,NA,"-",NA,NA
969,98,408,5,4,"NIHONKIRYAKU",969-04-08,2000-04-08
970,NA,NA,NA,NA,"-",NA,NA
971,NA,NA,NA,NA,"-",NA,NA
972,107,416,5,8,"EST-from-WF(SHIRYO-SORAN)",972-04-16,2000-04-16
973,NA,NA,NA,NA,"-",NA,NA
974,108,418,1,2,"NIHONKIRYAKU",974-04-18,2000-04-18
975,101,411,5,2,"NIHONKIRYAKU",975-04-11,2000-04-11
976,NA,NA,NA,NA,"-",NA,NA
977,112,422,2,2,"FUSO-RYAKKI",977-04-22,2000-04-22
978,NA,NA,NA,NA,"-",NA,NA
979,104,414,4,3,"DAINIHON-SHIRYO",979-04-14,2000-04-14
980,NA,NA,NA,NA,"-",NA,NA
981,NA,NA,NA,NA,"-",NA,NA
982,NA,NA,NA,NA,"-",NA,NA
983,NA,NA,NA,NA,"-",NA,NA
984,NA,NA,NA,NA,"-",NA,NA
985,94,404,4,2,"SHOYUKI",985-04-04,2000-04-04
986,NA,NA,NA,NA,"-",NA,NA
987,NA,NA,NA,NA,"-",NA,NA
988,NA,NA,NA,NA,"-",NA,NA
989,100,410,4,2,"SHOYUKI",989-04-10,2000-04-10
990,NA,NA,NA,NA,"-",NA,NA
991,104,414,7,1,"EIGA-MONOGATARI(MIHATENUYUME)",991-04-14,2000-04-14
992,NA,NA,NA,NA,"-",NA,NA
993,NA,NA,NA,NA,"-",NA,NA
994,NA,NA,NA,NA,"-",NA,NA
995,NA,NA,NA,NA,"-",NA,NA
996,NA,NA,NA,NA,"-",NA,NA
997,NA,NA,NA,NA,"-",NA,NA
998,NA,NA,NA,NA,"-",NA,NA
999,NA,NA,NA,NA,"-",NA,NA
1000,105,415,3,2,"MIDO-KAMPAKUKI",1000-04-15,2000-04-15
1001,NA,NA,NA,NA,"-",NA,NA
1002,NA,NA,NA,NA,"-",NA,NA
1003,NA,NA,NA,NA,"-",NA,NA
1004,117,426,3,2,"MIDO-KAMPAKUKI",1004-04-26,2000-04-26
1005,NA,NA,NA,NA,"-",NA,NA
1006,100,410,1,2,"NIHONKIRYAKU",1006-04-10,2000-04-10
1007,106,416,5,4,"MIDO-KAMPAKUKI",1007-04-16,2000-04-16
1008,NA,NA,NA,NA,"-",NA,NA
1009,NA,NA,NA,NA,"-",NA,NA
1010,NA,NA,NA,NA,"-",NA,NA
1011,NA,NA,NA,NA,"-",NA,NA
1012,NA,NA,NA,NA,"-",NA,NA
1013,NA,NA,NA,NA,"-",NA,NA
1014,115,425,5,2,"DAI-SAIIN-GYOSHU",1014-04-25,2000-04-25
1015,NA,NA,NA,NA,"-",NA,NA
1016,111,420,2,2,"MIDO-KAMPAKUKI",1016-04-20,2000-04-20
1017,99,409,3,2,"MIDO-KAMPAKUKI",1017-04-09,2000-04-09
1018,113,423,2,2,"MIDO-KAMPAKUKI",1018-04-23,2000-04-23
1019,98,408,4,2,"SHOYUKI",1019-04-08,2000-04-08
1020,NA,NA,NA,NA,"-",NA,NA
1021,NA,NA,NA,NA,"-",NA,NA
1022,NA,NA,NA,NA,"-",NA,NA
1023,NA,NA,NA,NA,"-",NA,NA
1024,NA,NA,NA,NA,"-",NA,NA
1025,NA,NA,NA,NA,"-",NA,NA
1026,NA,NA,NA,NA,"-",NA,NA
1027,NA,NA,NA,NA,"-",NA,NA
1028,NA,NA,NA,NA,"-",NA,NA
1029,116,426,1,2,"REKIDAI-HENNEN-SHUSEI",1029-04-26,2000-04-26
1030,NA,NA,NA,NA,"-",NA,NA
1031,97,407,4,2,"SHOYUKI",1031-04-07,2000-04-07
1032,111,420,5,2,"NIHONKIRYAKU",1032-04-20,2000-04-20
1033,102,412,5,4,"NIHONKIRYAKU",1033-04-12,2000-04-12
1034,96,406,5,8,"EST-from-WF(EIGA-MONOGATARI)",1034-04-06,2000-04-06
1035,NA,NA,NA,NA,"-",NA,NA
1036,104,413,5,4,"NIHONKIRYAKU",1036-04-13,2000-04-13
1037,NA,NA,NA,NA,"-",NA,NA
1038,NA,NA,NA,NA,"-",NA,NA
1039,NA,NA,NA,NA,"-",NA,NA
1040,NA,NA,NA,NA,"-",NA,NA
1041,103,413,1,2,"FUSO-RYAKKI",1041-04-13,2000-04-13
1042,NA,NA,NA,NA,"-",NA,NA
1043,NA,NA,NA,NA,"-",NA,NA
1044,NA,NA,NA,NA,"-",NA,NA
1045,NA,NA,NA,NA,"-",NA,NA
1046,103,413,7,1,"EIGA-MONOGATARI(NEAWASE)",1046-04-13,2000-04-13
1047,NA,NA,NA,NA,"-",NA,NA
1048,112,421,6,3,"IETSUNE-ASON-SHU",1048-04-21,2000-04-21
1049,NA,NA,NA,NA,"-",NA,NA
1050,105,415,7,2,"EIGA-MONOGATARI(NEAWASE)",1050-04-15,2000-04-15
1051,NA,NA,NA,NA,"-",NA,NA
1052,NA,NA,NA,NA,"-",NA,NA
1053,NA,NA,NA,NA,"-",NA,NA
1054,NA,NA,NA,NA,"-",NA,NA
1055,NA,NA,NA,NA,"-",NA,NA
1056,NA,NA,NA,NA,"-",NA,NA
1057,NA,NA,NA,NA,"-",NA,NA
1058,NA,NA,NA,NA,"-",NA,NA
1059,NA,NA,NA,NA,"-",NA,NA
1060,108,417,5,4,"SHIN-SENZAI-WAKASHU",1060-04-17,2000-04-17
1061,92,402,6,4,"MOROZANE-SHU",1061-04-02,2000-04-02
1062,NA,NA,NA,NA,"-",NA,NA
1063,NA,NA,NA,NA,"-",NA,NA
1064,NA,NA,NA,NA,"-",NA,NA
1065,NA,NA,NA,NA,"-",NA,NA
1066,105,415,3,2,"SUISAKI",1066-04-15,2000-04-15
1067,NA,NA,NA,NA,"-",NA,NA
1068,NA,NA,NA,NA,"-",NA,NA
1069,NA,NA,NA,NA,"-",NA,NA
1070,NA,NA,NA,NA,"-",NA,NA
1071,113,423,7,2,"SHUGAKKAIKI",1071-04-23,2000-04-23
1072,NA,NA,NA,NA,"-",NA,NA
1073,103,413,7,2,"EIGA-MONOGATARI(MATSUNO-SHIDUE)",1073-04-13,2000-04-13
1074,NA,NA,NA,NA,"-",NA,NA
1075,NA,NA,NA,NA,"-",NA,NA
1076,NA,NA,NA,NA,"-",NA,NA
1077,NA,NA,NA,NA,"-",NA,NA
1078,NA,NA,NA,NA,"-",NA,NA
1079,NA,NA,NA,NA,"-",NA,NA
1080,102,411,3,2,"SUISAKI",1080-04-11,2000-04-11
1081,NA,NA,NA,NA,"-",NA,NA
1082,NA,NA,NA,NA,"-",NA,NA
1083,96,406,3,1,"GONIJO-MOROMICHIKI",1083-04-06,2000-04-06
1084,120,429,5,4,"ZOKU-GOSEN-WAKASHU",1084-04-29,2000-04-29
1085,NA,NA,NA,NA,"-",NA,NA
1086,NA,NA,NA,NA,"-",NA,NA
1087,NA,NA,NA,NA,"-",NA,NA
1088,104,413,3,2,"GONIJO-MOROMICHIKI",1088-04-13,2000-04-13
1089,NA,NA,NA,NA,"-",NA,NA
1090,105,415,3,2,"GONIJO-MOROMICHIKI",1090-04-15,2000-04-15
1091,NA,NA,NA,NA,"-",NA,NA
1092,NA,NA,NA,NA,"-",NA,NA
1093,105,415,3,2,"GONIJO-MOROMICHIKI",1093-04-15,2000-04-15
1094,NA,NA,NA,NA,"-",NA,NA
1095,100,410,5,4,"CHUYUKI",1095-04-10,2000-04-10
1096,96,405,3,2,"GONIJO-MOROMICHIKI",1096-04-05,2000-04-05
1097,NA,NA,NA,NA,"-",NA,NA
1098,100,410,4,2,"CHUYUKI",1098-04-10,2000-04-10
1099,103,413,3,1,"GONIJO-MOROMICHIKI",1099-04-13,2000-04-13
1100,NA,NA,NA,NA,"-",NA,NA
1101,NA,NA,NA,NA,"-",NA,NA
1102,104,414,4,3,"CHUYUKI",1102-04-14,2000-04-14
1103,NA,NA,NA,NA,"-",NA,NA
1104,108,417,4,2,"DENRYAKU",1104-04-17,2000-04-17
1105,114,424,1,2,"CHUYUKI",1105-04-24,2000-04-24
1106,NA,NA,NA,NA,"-",NA,NA
1107,105,415,3,2,"CHUYUKI",1107-04-15,2000-04-15
1108,NA,NA,NA,NA,"-",NA,NA
1109,NA,NA,NA,NA,"-",NA,NA
1110,NA,NA,NA,NA,"-",NA,NA
1111,113,423,3,2,"EISHOKI",1111-04-23,2000-04-23
1112,104,413,5,1,"CHUYUKI",1112-04-13,2000-04-13
1113,NA,NA,NA,NA,"-",NA,NA
1114,100,410,4,2,"DENRYAKU",1114-04-10,2000-04-10
1115,NA,NA,NA,NA,"-",NA,NA
1116,NA,NA,NA,NA,"-",NA,NA
1117,109,419,4,2,"DENRYAKU",1117-04-19,2000-04-19
1118,102,412,3,2,"MISSHU-KETSUMYAKUSHO",1118-04-12,2000-04-12
1119,NA,NA,NA,NA,"-",NA,NA
1120,104,413,3,2,"DAIGO-ZOJIKI",1120-04-13,2000-04-13
1121,NA,NA,NA,NA,"-",NA,NA
1122,NA,NA,NA,NA,"-",NA,NA
1123,112,422,3,2,"DAIGO-ZOJIKI",1123-04-22,2000-04-22
1124,98,407,3,2,"DAIGO-ZOJIKI",1124-04-07,2000-04-07
1125,111,421,4,2,"DAIGOJI-ZATSUYO",1125-04-21,2000-04-21
1126,108,418,4,2,"DAIGOJI-ZATSUYO",1126-04-18,2000-04-18
1127,107,417,3,2,"DAIGO-ZOJIKI",1127-04-17,2000-04-17
1128,111,420,3,2,"DAIGO-ZOJIKI",1128-04-20,2000-04-20
1129,106,416,3,2,"DAIGO-ZOJIKI",1129-04-16,2000-04-16
1130,103,413,3,2,"DAIGO-ZOJIKI",1130-04-13,2000-04-13
1131,103,413,4,2,"DAIGOJI-ZATSUYO",1131-04-13,2000-04-13
1132,NA,NA,NA,NA,"-",NA,NA
1133,NA,NA,NA,NA,"-",NA,NA
1134,106,416,4,2,"DAIGOJI-ZATSUYO",1134-04-16,2000-04-16
1135,NA,NA,NA,NA,"-",NA,NA
1136,NA,NA,NA,NA,"-",NA,NA
1137,NA,NA,NA,NA,"-",NA,NA
1138,NA,NA,NA,NA,"-",NA,NA
1139,113,423,4,2,"DAIGOJI-ZATSUYO",1139-04-23,2000-04-23
1140,103,412,3,2,"DAIGO-ZOJIKI",1140-04-12,2000-04-12
1141,111,421,4,2,"DAIGOJI-ZATSUYO",1141-04-21,2000-04-21
1142,NA,NA,NA,NA,"-",NA,NA
1143,110,420,4,2,"DAIGOJI-ZATSUYO",1143-04-20,2000-04-20
1144,NA,NA,NA,NA,"-",NA,NA
1145,107,417,5,2,"TAIKI",1145-04-17,2000-04-17
1146,NA,NA,NA,NA,"-",NA,NA
1147,NA,NA,NA,NA,"-",NA,NA
