country,starting,top
Australia,39125,56474
Austria,34143,66378
Belgium,33648,57981
Canada,39608,66702
Chile,17734,37110
Czech Republic,17033,20795
Denmark,46144,53431
England,27768,47279
Estonia,13004,17015
Finland,34945,45449
France,30343,52661
Germany,56757,74744
Greece,17760,34901
Hungary,10647,17362
Iceland,26046,31145
Ireland,36612,63774
Israel,19917,44106
Italy,29655,44408
Japan,27627,60878
Korea,29252,81897
Luxembourg,79920,138920
Mexico,20492,43506
Netherlands,38473,66832
New Zealand,29634,44509
Norway,41177,48662
Poland,15220,25980
Portugal,30806,57201
Scotland,27576,43991
Slovak Republic,11116,16869
Slovenia,25134,45764
Spain,40752,57398
Sweden,33383,44398
Turkey,26266,30313
United States,43324,66022
Colombia,15331,21499
OECD Average,31013,50414
