"",,,SDD cân/tuổi (%),,SDD cao/tuổi (%),
"",,,Underweight,,Stunting,Chung SDD
"Tỉnh, thành phố",,,,,,(%) cân/cao
Province/city,N,Chung,Độ I Độ II,Độ III,Chung Độ I Độ II,Wasting
"",,Total,Moderate Severe,Very severe,Total Moderate Severe,
Toàn quốc,,,,,,
Nation-wide,"97,641",16.8,14.9 1.7,0.2,27.5 16.1 11.4,6.6
"ĐB sông Hồng",,,,,,
Red River Delta,13613,12.7,11.9 0.7,0.1,22.7 13.9 8.8,5.4
1 Hà Nội,3010,8.6,7.9 0.6,0.1,17.8 10.4 7.4,2.9
2 Hải Phòng,1474,10.4,9.5 0.8,0.1,22.6 12.4 10.2,5.6
3 Hải Dương,1495,14.5,13.6 0.8,0.1,24.7 13.4 11.3,6.5
4 Hưng Yên,1527,15.2,14.4 0.7,0.1,27.6 17.4 10.2,7.4
5 Hà Nam,1544,16.8,16 0.7,0.1,26.3 15.2 11.1,8.6
6 Nam Định,1521,15.4,14.6 0.7,0.1,23.7 13.5 10.2,6.4
7 Thái Bình,1522,15.8,14.6 1.1,0.1,25.4 14.5 10.9,6.5
8 Ninh Bình,1520,17.7,16.7 0.9,0.1,29.1 17.1 12,6.6
"Đông Bắc",,,,,,
Northeast,,,,,,
"",19633,19.1,17.1 1.8,0.2,30.5 18.8 11.7,7.2
9 Hà Giang,1508,24.2,22.2 1.6,0.4,36.1 24.3 11.8,8
10 Cao Bằng,1474,21.4,18.5 2.5,0.4,34.7 24.2 10.5,6.7
11 Lào Cai,1495,24,20.6 2.8,0.6,38.9 24.1 14.8,6.8
12 Bắk Cạn,1527,23,21.4 1.4,0.2,32.4 21.5 10.9,7.6
13 Lạng Sơn,1544,19.9,18.2 1.5,0.2,29.8 17.9 11.9,7.4
14 Tuyên Quang,1521,20.4,18.4 1.8,0.2,29.8 17.8 12,6.8
15 Yên Bái,1522,21.6,19.6 1.8,0.2,31.3 20.5 10.8,7.7
16 Thái Nguyên,1520,17.3,15.7 1.5,0.1,27 15.4 11.6,6.8
17 Phú Thọ,1500,17.8,15.8 1.8,0.2,28.8 17.7 11.1,8
18 Vĩnh Phúc,1520,17.6,16.1 1.4,0.1,26.7 15.9 10.8,6.2
19 Bắc Giang,1500,18,16 1.8,0.2,30.4 17.6 12.8,7.9
20 Bắc Ninh,1500,13.5,12.4 1,0.1,28.7 16.8 11.9,6.9
21 Quảng Ninh,1502,16.5,15 1.4,0.1,26.9 16.9 10,6.8
Tây Bắc,,,,,,
Northwest,5970,22.1,20.0 1.8,0.3,33.6 20.2 13.4,6.9
22 Lai Châu,1514,24.6,22.2 2.1,0.3,37 23.4 13.6,7
23 Sơn La,1516,21.8,20.1 1.4,0.3,35.4 21.2 14.2,6.9
24 Hòa Bình,1512,21.4,19.4 1.7,0.3,28.9 18 10.9,6.9
25 Điện Biên,1428,21.6,19.5 1.9,0.2,32.9 18.1 14.8,6.8
Bắc Trung Bộ,,,,,,
North Central Coast,9018,20.2,18.4 1.6,0.2,32.0 19.7 12.3,7.6
26 Thanh Hóa,1530,21.4,19.5 1.6,0.3,32.8 19 13.8,7.6
27 Nghệ An,1528,20.9,19.1 1.6,0.2,31.8 20.6 11.2,7.8
28 Hà Tĩnh,1428,19.9,17.6 2,0.3,32.9 21.4 11.5,7.8
29 Quảng Bình,1528,21.9,20.2 1.6,0.1,33.4 20.5 12.9,7
30 Quảng Trị,1492,17.9,16.5 1.4,0,31.9 18.6 13.3,7.8
31 Thừa Thiên Huế,1512,15.2,14.1 1.1,0,28.4 16.5 11.9,7.1
"",,SDD cân/tuổi (%),SDD cao/tuổi (%),,,,,,,
"",,,Underweight,Stunting,Chung SDD,,,,,
Province/city,N,,,,Độ III,,,,(%) cân/cao,
"",,,Chung,Độ I,Độ II,Chung,Độ I,Độ II,,
"",,,,,,,,,,
"",,,Total,Moderate,Severe,severe,Total,Moderate,Severe,
Nam Trung Bộ,,,,,,,,,,
"",,9028,16.1,14.3,1.6,0.2,27.9,17.0,10.9,6.4
South Central Coast,,,,,,,,,,
"",,,,,,,,,,
32,"Đà NẵngQuảng NamQuảng NgãiBình ĐịnhPhú YênKhánh Hòa","142215261522152015221516",6,5.6,0.4,0,18.2,10.3,7.9,3.6
33,16.7,14.6,1.9,0.2,31.4,20.2,11.2,6.7,,
34,18.1,15.7,2.2,0.2,27.9,15.2,12.7,6.8,,
35,18.1,16,1.9,0.2,27.8,15.6,12.2,6.8,,
36,18,16.2,1.6,0.2,31.4,20.2,11.2,6.7,,
37,14.3,12.4,1.8,0.1,26.2,16,10.2,6.5,,
Tây Nguyên,,,,,,,,,,
"",,6093,25.9,22.0,3.4,0.5,37.3,23.1,14.2,8.6
Central Highlands,,,,,,,,,,
"",,,,,,,,,,
38,"Kon TumGia LaiĐắk LắkĐắc Nông","1518152315281524",27.4,21.6,4.6,1.2,41.4,24.2,17.2,10.5
39,25.4,20.8,4.2,0.4,36.1,23.2,12.9,9,,
40,25.6,22.9,2.4,0.3,35.5,21.5,14,7.9,,
41,25.5,22.9,2.4,0.2,36.1,23.2,12.9,7.6,,
"Đông Nam Bộ",,,,,,,,,,
"",,14849,11.9,10.9,0.9,0.1,21.3,11.4,9.9,5.2
Southeast,,,,,,,,,,
"",,,,,,,,,,
42,"TP Hồ Chí MinhLâm ĐồngNinh ThuậnBình PhướcTây NinhBình DươngĐồng NaiBình ThuậnBà Rịa Vũng Tàu","302015261528150215121508144213461465",5.9,5.6,0.3,0,7.7,6.9,0.8,3.4
43,15.1,12.6,2.4,0.1,25.7,14.8,10.9,6.8,,
44,22.1,18.6,3.4,0.1,29.7,17.6,12.1,6.7,,
45,18.4,15.6,2.6,0.2,31,19.1,11.9,7.2,,
46,15.8,14.5,1.1,0.2,26.6,16.8,9.8,6.3,,
47,11.1,10.5,0.5,0.1,24.6,15.4,9.2,5.8,,
48,12,11,0.9,0.1,28.9,17.5,11.4,6.9,,
49,18.4,16.6,1.6,0.2,32,18.2,13.8,6.9,,
50,10,8.9,1.1,0,24.5,14.4,10.1,6,,
"ĐB sông Cửu Long",,,,,,,,,,
"",19437,15.2,13.1,1.9,0.2,26.8,16.1,10.7,7.0,
Mekong River Delta,,,,,,,,,,
"",,,,,,,,,,
51,12,11,0.9,0.1,22.8,13.2,9.6,6.5,,
52,15.6,13.3,2.1,0.2,28.7,15.9,12.8,7,,
53,15.9,14.0,1.7,0.2,27.7,16.9,10.8,6.8,,
54,14.4,12.5,1.8,0.1,27,16.6,10.4,8.2,,
55,16.9,15.2,1.6,0.1,26.4,15.4,11,6.8,,
56,14.4,12.9,1.4,0.1,24.8,14.2,10.6,6.9,,
57,16,13.9,1.9,0.2,26.8,15.7,11.1,6.2,,
58,13.5,11.3,2.1,0.1,25,14.4,10.6,7,,
59,16,13.4,2.4,0.2,28.8,19.9,8.9,7.6,,
60,17.5,15.1,2.1,0.3,27.6,17.8,9.8,7,,
61,16.9,13.7,2.9,0.3,28.7,17.8,10.9,6.8,,
62,15.6,13.4,2,0.2,27.8,16.5,11.3,6.8,,
