"",,,SDD Cân/tuổi (%),,SDD cao/tuổi (%),
Tỉnh/Thành phố,,,Underweight,,Stunting,SDD
"",N,,,,,cân/cao (%)
"",,Chung,Độ I Độ II,Độ III,Chung Độ I Độ II,
Province/city,,Total,Moderate Severe,Very severe,Total Moderate Severe,Wasting
Toàn quốc,,,,,,
"",100735,16.2,14.5 1.6,0.1,26.7 15.5 11.2,6.7
Nation-wide,,,,,,
"ĐB Sông Hồng",,,,,,
"",18949,11.8,11.0 0.7,0.1,21.9 13.6 8.3,5.5
Red River Delta,,,,,,
1 Hà Nội,3383,8.1,7.7 0.4,0,16.9 10.0 6.9,3.3
2 Vĩnh Phúc,1520,16.9,16.0 0.8,0.1,25.8 15.9 9.9,6.1
3 Bắc Ninh,1500,12.9,12.1 0.7,0.1,27.8 16.3 11.5,6.7
4 Quảng Ninh,1502,15.8,14.8 0.9,0.1,26.1 16.2 9.9,6.9
5 Hải Dương,1672,13.9,13.1 0.7,0.1,23.4 12.3 11.1,6.1
6 Hải Phòng,1528,9.6,8.5 0.9,0.2,21.2 12.1 9.1,5.6
7 Hưng Yên,1502,14.4,13.7 0.6,0.1,26.2 16.6 9.6,7.6
8 Thái Bình,1530,15.1,14.0 1.0,0.1,25.0 14.9 10.1,6.7
9 Hà Nam,1692,15.9,14.6 1.2,0.1,25.5 15.1 10.4,7.9
10 Nam Định,1525,14.5,13.6 0.8,0.1,22.9 12.8 10.1,6.2
11 Ninh Bình,1514,16.8,15.7 1.0,0.1,28.0 15.9 12.1,6.4
Trung du và miền,,,,,,
núi phía Bắc,21467,20.9,18.7 2.0,0.2,31.9 20.4 11.5,7.4
Northern midlands,,,,,,
and mountain areas,,,,,,
12 Hà Giang,1538,23.1,21.2 1.6,0.3,35.0 23.3 11.7,7.9
13 Cao Bằng,1523,20.5,17.6 2.6,0.3,33.8 22.9 10.9,6.8
14 Bắc Kạn,1521,22.2,20.9 1.2,0.1,31.5 20.9 10.6,7.7
15 Tuyên Quang,1572,19.7,17.9 1.6,0.2,28.8 16.9 11.9,6.9
16 Lào Cai,1526,23.2,20.0 2.7,0.5,37.8 23.1 14.7,6.7
17 Yên Bái,1536,20.8,18.9 1.7,0.2,30.1 20.1 10.0,7.6
18 Thái Nguyên,1520,16.7,15.5 1.1,0.1,26.4 14.8 11.6,6.8
19 Lạng Sơn,1531,19.2,17.8 1.3,0.1,29.1 17.5 11.6,7.5
20 Bắc Giang,1500,17.3,15.2 1.9,0.2,29.5 17.1 12.4,7.8
21 Phú Thọ,1500,17.0,15.4 1.4,0.2,28.0 18.2 9.8,7.6
22 Điện Biên,1428,20.8,18.8 1.8,0.2,31.9 17.6 14.3,6.9
23 Lai Châu,1514,23.5,21.2 2.0,0.3,36.4 23.1 13.3,7.2
24 Sơn La,1516,21.1,19.4 1.4,0.3,34.4 20.8 13.6,6.9
25 Hòa Bình,1512,20.6,18.9 1.5,0.2,28.0 18.2 9.8,6.9
"",,SDD Cân/tuổi (%),SDD cao/tuổi (%),,,,,,,
"",Underweight,Stunting,SDD,,,,,,,
Province/city,N,Chung,Độ I,Độ II,Độ III,Chung,Độ I,Độ II,cân/cao (%),
"",,,,,,,,,,
"",,,Total,Moderate,Severe,severe,Total,Moderate,Severe,
"",,,,,,,,,,
Bắc Trung Bộ và,,,,,,,,,,
"",,,,,,,,,,
"",21577,19.5,17.9,1.4,0.2,31.2,19.4,11.8,7.5,
Central area and,,,,,,,,,,
Central coastal area,,,,,,,,,,
26,"Thanh HóaNghệ AnHà TĩnhQuảng BìnhQuảng TrịThừa Thiên HuếĐà NẵngQuảng NamQuảng NgãiBình ĐịnhPhú YênKhánh HòaNinh ThuậnBình Thuận","15301528142815281492151214221526152215201522151615281346",20.8,19.0,1.6,0.2,31.6,18.6,13.0,7.8
27,20.2,18.5,1.5,0.2,30.8,20.1,10.7,7.7,,
28,19.2,17.3,1.6,0.3,31.9,20.9,11.0,7.8,,
29,21.0,19.4,1.5,0.1,32.4,20.1,12.3,7.1,,
30,17.2,15.7,1.5,0,31.0,18.1,12.9,7.4,,
31,14.6,13.4,1.2,0,27.6,16.1,11.5,7.2,,
32,5.4,5.1,0.3,0,18.0,10.2,7.8,3.8,,
33,16,14.1,1.7,0.2,30.1,20.0,10.1,6.8,,
34,17.2,15.0,2.0,0.2,27.1,14.8,12.3,6.7,,
35,17.2,15.2,1.9,0.1,27.2,15.3,11.9,6.8,,
36,17.2,15.6,1.4,0.2,30.7,19.8,10.9,6.8,,
37,13.8,12.1,1.6,0.1,25.6,15.6,10.0,6.4,,
38,21.4,19.2,2.1,0.1,28.9,16.9,12.0,6.8,,
39,17.6,15.9,1.5,0.2,31,17.2,13.8,6.8,,
Tây nguyên,,,,,,,,,,
"",,7764,25.0,21.5,3.0,0.5,36.8,23.0,13.8,8.1
"",,,,,,,,,,
40,"Kon TumGia LaiĐắk LắkĐắc NôngLâm Đồng","15181523152815241526",26.3,21.5,3.9,0.9,40.6,23.8,16.8,9.2
41,24.3,20.3,3.6,0.4,35.2,22.4,12.8,8.5,,
42,24.6,22.1,2.2,0.3,34.5,21.0,13.5,7.8,,
43,24.8,22.3,2.3,0.2,35.1,22.7,12.4,7.6,,
44,14.6,12.3,2.2,0.1,25.0,14.2,10.8,6.8,,
"Đông Nam Bộ",,,,,,,,,,
"",,10.914,11.3,10.3,0.9,0.1,20.7,11.5,9.2,5.4
"",,,,,,,,,,
45,"Bình PhướcTây NinhBình DươngĐồng NaiBà Rịa VũngTàuHồ Chí Minh (*)","150215121508144214653020",17.8,15.4,2.2,0.2,30.2,18.7,11.5,7.1
46,15.2,14.0,1.1,0.1,26.0,16.5,9.5,6.4,,
47,10.6,10.1,0.4,0.1,23.9,15.0,8.9,5.9,,
48,11.5,9.8,1.6,0.1,28.0,17.0,11.0,6.8,,
49,9.5,8.5,1.0,0,23.8,13.5,10.3,6.1,,
50,5.3,5.0,0.3,0,7.6,6.8,0.8,3.5,,
"",,SDD Cân/tuổi (%),SDD cao/tuổi (%),,,,,,
"",Underweight,Stunting,SDD,,,,,,
Province/city,N,Chung,Độ I,Độ II,Độ III,Chung,Độ I,Độ II,cân/cao (%)
"",,,,,,,,,
"",,Total,Moderate,Severe,severe,Total,Moderate,Severe,
"",,,,,,,,,
"ĐB Sông Cửu long",,,,,,,,,
"",19.962,14.8,13.1,1.6,0.1,26.0,15.6,10.4,6.8
"",,,,,,,,,
51,11.5,10.7,0.7,0.1,22.0,12.9,9.1,6.5,
52,13.9,11.7,2.1,0.1,26.4,14.7,11.7,6.9,
53,13.9,12.2,1.6,0.1,24.2,16.0,8.2,6.7,
