1,Hà Nội,3194,7 .0,6.0,1.0,-,15.5,13.0,2.5,2.8,0.5,6.2,1.3
2,Vĩnh Phúc,1511,1 5.5,14.2,1.3,-,24.8,20.7,4.1,4.2,0.8,2.1,0.5
3,Bắc Ninh,1530,1 1.6,9.8,1.7,0.1,26.9,22.8,4.1,4.3,0.9,2.8,0.9
4,Quảng Ninh,1561,1 5.1,13.1,1.9,0.1,26.5,16.7,9.8,7.8,2.8,7.2,1.2
5,Hải Dương,1607,1 2.8,11.6,1.1,0.1,22.0,16.3,5.7,5.8,1.3,4.9,1.6
6,Hải Phòng,1529,8 .9,7.3,1.5,0.1,20.0,17.0,3.0,5.4,1.3,3.5,1.2
7,Hưng Yên,1470,1 3.4,12.2,1.2,-,25.1,22.0,3.1,7.5,1.6,4.1,0.9
8,Thái Bình,1529,1 4.9,12.9,1.9,0.1,25.9,21.0,4.9,7.4,2.2,2.0,0.3
9,Hà Nam,1552,1 4.6,13.3,1.2,0.1,23.9,20.2,3.7,6.3,1.2,5.3,1.9
10,Nam Định,1539,1 3.6,11.7,1.9,-,21.6,18.6,3.0,5.3,1.2,4.1,0.5
11,Ninh Bình,1536,1 5.4,14.4,1.0,-,25.7,21.8,3.9,3.3,0.7,2.4,0.3
12,Hà Giang,1457,2 3.5,14.0,9.2,0.3,35.4,1 9.9,15.5,9.8,3.4,2.4,0.9
13,Cao Bằng,1526,2 1.0,16.4,4.4,0.2,34.0,2 1.1,12.9,6.7,1.6,3.3,1.5
14,Bắc Kạn,1530,2 0.6,17.1,3.4,0.1,30.8,2 2.5,8.3,10.4,2.2,2.4,0.6
15,Tuyên Quang,1530,1 8.8,17.0,1.6,0.2,27.2,1 7.4,9.8,8.5,2.4,3.4,1.0
16,Lào Cai,1532,2 2.1,18.3,3.5,0.3,37.3,2 3.7,13.6,4.9,0.5,3.9,1.9
17,Yên Bái,1520,1 9.2,16.5,2.5,0.2,30.4,2 0.5,9.9,10.2,2.6,3.9,1.1
18,Thái Nguyên,1542,1 5.9,14.4,1.4,0.1,25.0,1 5.5,9.5,3.9,0.9,3.2,1.0
19,Lạng Sơn,1536,1 9.7,16.3,3.3,0.1,27.6,1 7.7,9.9,10.6,2.3,1.8,0.4
20,Bắc Giang,1532,1 6.6,14.0,2.4,0.2,27.9,1 7.7,10.2,7.3,2.8,4.3,1.1
21,Phú Thọ,1518,1 6.0,13.8,2.0,0.2,26.9,1 7.1,9.8,8.0,2.7,3.6,1.4
22,Điện Biên,1528,1 9.7,16.6,2.9,0.2,32.2,1 8.2,14.0,5.0,1.8,2.8,0.9
23,Lai Châu,1507,2 3.9,19.2,4.4,0.3,36.8,1 7.5,19.3,4.9,1.5,3.1,0.8
24,Sơn La,1495,2 2.1,16.0,5.8,0.3,34.7,1 9.7,15.0,12.4,4.0,2.5,1.1
25,Hòa Bình,1530,1 9.5,16.9,2.5,0.1,26.7,1 6.1,10.6,5.7,0.7,1.6,0.5
26,Thanh Hóa,1579,1 9.7,17.8,1.7,0.2,30.2,2 2.0,8.2,7.0,0.8,2.6,0.8
27,Nghệ An,1742,1 8.8,15.4,3.2,0.2,29.4,2 0.7,8.7,6.0,1.6,2.4,0.6
28,Hà Tĩnh,1529,1 8.0,15.7,2.1,0.2,30.7,2 3.3,7.4,6.0,1.7,2.6,0.6
29,Quảng Bình,1525,1 9.8,19.2,0.5,0.1,30.8,2 1.9,8.9,6.5,0.7,2.0,0.9
30,Quảng Trị,1528,1 6.0,14.1,1.9,-,29.8,2 0.6,9.2,6.6,0.9,2.8,1.2
31,Thừa Thiên Huế,1531,1 3.4,11.8,1.6,-,26.4,1 7.9,8.5,6.0,0.7,4.5,1.6
32,Đà Nẵng,1461,5 .2,4.2,1.0,-,15.7,8 .7,7.0,5.5,1.9,8.3,2.8
