I B sông H,ng,,18264.0,10.2,9.5,0.6,0.1,20.3,14.9,5.4,5.2,4.1,3.1,1.0
1 Hà Nӝi,,,3126,6.1,5.5,0.6,0.0,15.0,11.6,3.4,5.8,5.4,4.0,1.4
2 Vƭnh Phúc,,,1537,14.6,12.9,1.7,0.0,23.9,17.4,6.5,5.2,3.9,3.0,0.9
3 Bҳc Ninh,,,1530,10.8,8.6,2.2,0.0,26.1,20.2,5.9,8.4,3.2,2.3,0.9
4 Quҧng Ninh,,,1573,13.5,11.2,2.3,0.0,25.7,16.2,9.5,8.8,9.2,6.9,2.3
5 Hҧi Dѭѫng,,,1598,12.0,10.9,1.1,0.0,20.9,14.7,6.2,4.7,5.4,3.5,1.9
6 Hҧi Phòng,,,1510,8.0,6.6,1.4,0.0,19.2,14.4,4.8,5.4,3.5,2.3,1.2
7 Hѭng Yên,,,1489,12.4,11.1,1.3,0.0,24.1,20.4,3.7,6.5,4.4,3.1,1.3
8 Thái Bình,,,1522,13.8,12.3,1.5,0.0,25.2,19.3,5.9,6.6,3.0,1.7,1.3
9 Hà Nam,,,1509,13.5,12.2,1.3,0.0,23.4,17.9,5.5,6.4,5.5,3.3,2.2
10 Nam Ĉӏnh,,,1532,12.2,10.4,1.8,0.0,21.2,16.7,4.5,5.4,3.9,3.0,0.9
11 Ninh Bình,,,1338,14.5,13.4,1.1,0.0,25.0,17.8,7.2,5.5,4.7,3.3,1.4
II Trung du và miӅn,,,20949,19.8,17.8,1.8,0.2,30.7,20.5,10.2,8.2,2.8,2.0,0.8
núi phía Bҳc,,,,,,,,,,,,,,
12 Hà Giang,,,1466,23.1,14.0,8.9,0.2,35.2,19.8,15.4,9.8,2.7,1.9,0.8
13 Cao Bҵng,,,1421,18.9,14.9,3.8,0.2,32.4,20.2,12.2,6.9,2.9,2.0,0.9
14 Bҳc Kҥn,,,1530,18.5,15.4,3.0,0.1,29.7,21.2,8.5,7.0,2.4,1.6,0.8
15 Tuyên Quang,,,1535,18.1,15.5,2.4,0.2,26.1,16.9,9.2,8.6,2.2,1.4,0.8
16 Lào Cai,,,1528,20.0,16.4,3.4,0.2,35.2,21.8,13.4,5.8,3.5,2.6,0.9
17 Yên Bái,,,1516,18.4,13.2,5.0,0.2,28.6,18.6,10.0,9.8,5.9,3.8,2.1
18 Thái Nguyên,,,1288,13.8,10.6,3.0,0.2,24.1,14.1,10.0,9.1,3.5,2.1,1.4
19 Lҥng Sѫn,,,1486,18.9,15.5,3.3,0.1,26.8,17.0,9.8,10.4,2.9,2.4,0.5
20 Bҳc Giang,,,1529,15.2,12.4,2.6,0.2,27.1,16.5,10.6,7.8,5.3,3.9,1.4
21 Phú Thӑ,,,1530,14.5,12.5,1.9,0.1,26.8,15.9,10.9,6.4,4.6,3.2,1.4
22 ĈiӋn Biên,,,1516,19.2,14.0,5.0,0.2,32.0,17.4,14.6,7.5,2.9,1.9,1.0
23 Lai Châu,,,1525,23.2,18.8,4.1,0.3,36.7,19.4,17.3,6.9,2.0,1.3,0.7
24 Sѫn La,,,1566,21.7,16.7,4.7,0.3,34.4,19.6,14.8,10.3,2.0,1.6,0.4
25 Hòa Bình,,,1513,17.7,15.0,2.6,0.1,25.6,16.0,9.6,5.8,1.5,1.2,0.3
Bҳc Trung Bӝ và,,,,,,,,,,,,,,
III duyên hҧi miӅn,,,21314,17.0,15.5,1.4,0.1,28.1,18.2,9.9,6.7,3.9,2.8,1.2
Trung,,,,,,,,,,,,,,
26 Thanh Hóa,,,1564,18.5,16.7,1.7,0.1,28.9,19.8,9.1,7.1,3.6,2.4,1.2
27 NghӋ An,,,1746,18.0,14.8,3.0,0.2,29.0,20.5,8.5,5.8,4.1,3.0,1.1
28 Hà Tƭnh,,,1507,17.3,15.2,2.0,0.1,29.7,22.0,7.7,6.5,2.8,2.1,0.7
29 Quҧng Bình,,,1496,18.9,18.4,0.4,0.1,30.8,21.9,8.9,6.5,2.0,1.1,0.9
30 Quҧng Trӏ,,,1512,15.2,13.1,2.0,0.1,28.0,18.3,9.7,7.0,2.3,1.8,0.5
31 Thӯa Thiên HuӃ,,,1558,12.4,11.2,1.2,0.0,25.3,17.0,8.3,5.8,6.1,4.9,1.2
32 Ĉà Nҹng,,,1486,3.9,3.0,0.9,0.0,14.0,7.7,6.3,4.0,10.8,6.6,4.2
33 Quҧng Nam,,,1505,14.6,12.8,1.8,0.0,27.5,18.9,8.6,6.8,4.6,3.2,1.4
34 Quҧng Ngãi,,,1462,15.7,12.8,2.8,0.1,24.9,14.7,10.2,5.8,3.6,2.7,0.9
35 Bình Ĉӏnh,,,1528,14.7,13.3,1.3,0.1,24.7,15.6,9.1,5.0,4.3,2.4,1.9
36 Phú Yên,,,1517,15.6,13.8,1.7,0.1,28.4,19.4,9.0,7.6,3.7,0.9,2.8
37 Khánh Hòa,,,1390,11.8,9.5,2.2,0.1,22.9,14.8,8.1,7.0,8.7,6.0,2.7
38 Ninh Thuұn,,,1517,18.9,14.9,3.9,0.1,27.3,17.3,10.0,6.6,3.5,2.3,1.2
39 Bình Thuұn,,,1526,15.1,13.8,1.2,0.1,28.3,17.5,10.8,5.8,6.0,4.5,1.5
IV Tây Nguyên,,,7524,22.6,19.6,2.8,0.2,34.9,20.3,14.6,7.8,3.2,2.3,0.9
40 Kon Tum,,,1530,23.9,18.9,4.7,0.3,39.7,25.7,14.0,7.6,3.0,2.5,0.5
41 Gia Lai,,,1486,24.3,17.3,6.7,0.3,35.4,19.9,15.5,8.9,3.6,2.4,1.2
42 Ĉҳk Lҳk,,,1454,21.5,18.0,3.3,0.2,32.8,18.5,14.3,7.2,1.8,1.5,0.3
43 Ĉҳk Nông,,,1527,22.1,19.0,2.9,0.2,33.3,19.4,13.9,7.1,2.0,1.5,0.5
44 Lâm Ĉӗng,,,1527,12.0,10.0,1.9,0.1,22.9,12.1,10.8,7.7,5.4,3.1,2.3
V Ĉông Nam Bӝ,,,10732,8.4,7.7,0.6,0.1,18.3,10.9,7.4,5.4,9.9,6.5,3.4
45 Bình Phѭӟc,,,1506,14.7,12.5,2.1,0.1,28.1,16.2,11.9,6.0,6.1,3.7,2.4
46 Tây Ninh,,,1568,12.4,11.2,1.1,0.1,22.8,12.6,10.2,5.4,6.3,4.1,2.2
47 Bình Dѭѫng,,,1518,8.9,8.3,0.6,0.0,21.8,13.5,8.3,7.6,13.4,8.8,4.6
48 Ĉӗng Nai,,,1388,9.3,7.8,1.5,0.0,24.8,14.9,9.9,7.0,8.0,5.1,2.9
49 Bà Rӏa - VNJng Tàu,,,1577,7.4,6.3,1.1,0.0,19.7,11.1,8.6,5.6,7.0,5.4,1.6
50 Tp. Hӗ Chí Minh,3175,4.9,4.4,0.5,0.0,7.1,5.6,1.5,2.6,12.6,8.4,4.2
"ĈB sông Cӱu",,,,,,,,,,,,
VI Long,19641,13.0,11.8,1.1,0.1,24.0,14.1,9.9,6.8,5.9,4.3,1.6
51 Long An,1579,9.0,8.4,0.6,0.0,19.8,11.0,8.8,5.6,7.9,5.0,2.9
52 TiӅn Giang,1516,11.1,9.5,1.6,0.0,24.6,15.8,8.8,6.6,5.3,3.4,1.9
53 BӃn Tre,1529,11.5,10.7,0.8,0.0,22.2,14.2,8.0,6.0,6.6,4.2,2.4
54 Trà Vinh,1505,14.6,13.0,1.5,0.1,23.8,15.6,8.2,11.2,3.5,2.3,1.2
55 Vƭnh Long,1489,14.1,12.9,1.1,0.1,23.2,13.2,10.0,4.8,7.1,4.5,2.6
56 Ĉӗng Tháp,1506,14.5,11.8,2.6,0.1,25.7,15.0,10.7,6.7,5.6,3.8,1.8
57 An Giang,1538,13.1,11.6,1.5,0.0,24.0,15.2,8.8,6.2,5.3,3.5,1.8
58 Kiên Giang,1488,13.9,10.3,3.5,0.1,21.9,12.7,9.2,6.7,5.3,3.4,1.9
59 Cҫn Thѫ,1530,10.9,9.3,1.5,0.1,21.8,13.6,8.2,5.9,5.6,3.1,2.5
60 Hұu Giang,1373,13.3,11.6,1.7,0.0,26.3,17.3,9.0,6.1,6.4,3.7,2.7
