"chap_names","chap_dates","chap_views"
"Chap 1",2012-10-26,245122
"Chap 2",2012-10-29,184984
"Chap 3",2012-10-30,177726
"Chap 4",2012-11-02,163342
"Chap 5",2012-11-05,157735
"Chap 7",2012-11-08,149576
"Chap 8",2012-11-10,147994
"Chap 9",2012-11-12,141387
"Chap 10",2012-11-14,155561
"Chap 11",2012-11-18,147828
"Chap 12",2012-11-19,146922
"Chap 6",2012-11-24,153780
"Chap 13",2012-11-26,134048
"Chap 14",2012-11-27,134505
"Chap 15",2012-11-28,146325
"Chap 16",2012-12-01,138602
"Chap 17",2012-12-03,141701
"Chap 18",2012-12-06,137534
"Chap 18.5",2012-12-08,135042
"Chap 19",2012-12-25,135987
"Chap 20",2012-12-30,142637
"Chap 21",2013-01-06,139001
"Chap 22",2013-01-20,135275
"Chap 22.5",2013-01-27,125537
"Chap Special",2013-02-03,400868
"Chap 23",2013-02-04,127269
"Chap 23.5",2013-02-05,120237
"Chap 24",2013-02-17,128139
"Chap 25",2013-03-02,129739
"Chap 26",2013-03-27,132457
"Chap 27",2013-04-12,138599
"Chap 28",2013-04-24,117098
"Chap 29",2013-05-04,116070
"Chap 30",2013-05-19,102858
"Chap 31",2013-06-02,94809
"Chap 32",2013-06-16,93318
"Chap 33",2013-07-05,92743
"Chap 34",2013-07-21,98454
"Chap 35",2013-08-06,105045
"Chap 35.5",2013-08-14,104721
"Chap 35 Ver 2",2013-09-02,103453
"Chap 36",2013-09-22,118400
"Chap 37",2013-10-06,124576
"Chap 38",2013-11-25,112415
"Chap 38.5",2013-11-30,102160
"Chap Bonus",2013-12-02,170022
"Chap 38 Ver 2",2013-12-03,96293
"Chap 39",2013-12-09,105587
"Chap 40",2013-12-24,110080
"Chap 41",2014-01-04,106818
"Chap 41 Ver 2",2014-01-21,99791
"Chap 41 Ver 3",2014-02-07,98491
"Chap 42",2014-02-18,112487
"Chap 43",2014-03-07,106624
"Chap 44",2014-03-18,105412
"Chap 45",2014-04-01,109362
"Chap 46",2014-04-14,122595
"Chap 46.5",2014-05-05,104057
"Chap 47.5",2014-05-15,132998
"Chap 45 Ver 2",2014-05-23,89435
"Chap 46 Ver 2",2014-06-05,94004
"Chap 47",2014-06-19,109185
"Chap 47 Ver 2",2014-08-02,90514
"Chap 48",2014-08-03,102503
"Chap 48.5",2014-08-07,90991
"Chap 49",2014-08-17,102479
"Chap 49 Ver 2",2014-08-24,89932
"Chap 50",2014-09-08,101393
"Chap 51",2014-09-18,95869
"Chap 52",2014-10-07,88196
"Chap 53",2014-10-11,95189
"Chap 53.2",2014-10-19,93947
"Chap 54",2014-10-24,101303
"Chap 55",2014-11-06,104850
"Chap 56",2014-12-01,91070
"Chap 56.5",2014-12-06,81693
"Chap 57",2014-12-13,93219
"Chap 58",2014-12-26,95484
"Chap 59",2015-01-15,98672
"Chap 60",2015-01-30,104137
"Chap 61",2015-02-12,96742
"Chap 62",2015-03-05,103615
"Chap 36.5",2015-03-13,63409
"Chap 65",2015-04-13,86501
"Chap 64",2015-04-13,76672
"Chap 63",2015-04-13,76714
"Chap 66",2015-04-21,91044
"Chap 66.5",2015-05-01,72923
"Chap 66.6",2015-05-04,62512
"Chap 67",2015-05-05,78652
"Chap 67 Ver 2",2015-05-19,62124
"Chap 68",2015-05-22,76866
"Chap 69",2015-05-27,69142
"Chap 70",2015-06-08,85955
"Chap 71.5",2015-06-18,64343
"Chap 71",2015-06-18,69107
"Chap 72",2015-06-25,74379
"Chap 73",2015-07-08,62578
"Chap 74",2015-07-09,81658
"Chap 75",2015-07-17,71022
"Chap 76",2015-07-21,75543
"Chap 77",2015-08-05,76111
"Chap 77.5",2015-08-19,67674
"Chap 78",2015-09-01,75819
"Chap 78.5",2015-09-10,54608
"Chap 79",2015-09-11,77059
"Chap 80",2015-10-06,68598
"Chap 81.5",2015-10-25,57676
"Chap 81",2015-10-26,61973
"Chap 82",2015-11-15,47832
"Chap 83",2015-11-18,54771
"Chap 84",2015-12-02,64876
"Chap 85",2015-12-17,48886
"Chap 86",2015-12-18,66372
"Chap 85.5",2015-12-19,51898
"Chap 87",2015-12-30,71454
"Chap 88",2016-01-20,64200
"Chap 89",2016-01-29,67098
"Chap 90",2016-02-23,67446
"Chap 91",2016-02-29,58756
"Chap 92",2016-03-21,64430
"Chap 93",2016-04-04,77466
"Chap 94",2016-05-14,73134
"Chap 95",2016-05-29,63804
"Chap 93.5",2016-08-23,33756
"Chap 106",2016-12-10,33362
"Chap 105.1",2016-12-10,16370
"Chap 105",2016-12-10,15684
"Chap 104",2016-12-10,13876
"Chap 103",2016-12-10,12908
"Chap 102",2016-12-10,12168
"Chap 101",2016-12-10,26
"Chap 101",2016-12-10,39114
"Chap 100",2016-12-10,11656
"Chap 99",2016-12-10,10324
"Chap 98",2016-12-10,9874
"Chap 97.5",2016-12-10,8710
"Chap 97",2016-12-10,9576
"Chap 96",2016-12-10,9858
"Chap 79.5",2016-12-10,2280
"Chap 77.6",2016-12-10,2296
"Chap 53.5",2016-12-10,2070
"Chap 22.7",2016-12-10,1578
"Chap 107",2016-12-30,40242
"Chap 107.1",2017-01-07,15326
"Chap 108",2017-01-14,41544
"Chap 109",2017-02-03,28380
