"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh/Thành phố, Tỷ suất và Năm"

" ";"Tỷ suất nhập cư";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tỷ suất xuất cư";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tỷ suất di cư thuần";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015"
"CẢ NƯỚC";5.0;7.5;6.0;8.7;9.7;10.4;7.2;8.8;9.2;5.5;5.0;7.5;6.0;8.7;9.7;10.4;7.2;8.8;9.2;5.5;..;..;..;..;..;..;..;..;..;..
"Đồng bằng sông Hồng";2.5;3.4;2.5;3.2;3.5;4.5;2.7;3.6;3.1;1.8;3.1;3.9;3.1;3.7;3.0;3.6;2.5;3.9;3.6;1.8;-0.6;-0.4;-0.6;-0.5;0.5;0.9;0.2;-0.3;-0.5;0.0
"Hà Nội";13.8;14.8;10.7;13.1;10.8;11.0;6.1;7.7;7.5;4.7;5.2;10.5;6.8;3.2;4.9;6.4;3.3;7.4;7.8;4.1;8.7;4.3;3.9;9.9;5.9;4.7;2.8;0.3;-0.3;0.6
"Hà Tây";2.2;2.8;..;..;..;..;..;..;..;..;4.3;7.1;..;..;..;..;..;..;..;..;-2.1;-4.3;..;..;..;..;..;..;..;..
"Vĩnh Phúc";2.5;2.4;3.8;4.5;4.8;4.3;2.9;6.4;4.9;2.8;3.8;6.3;7.2;10.2;7.2;16.0;4.0;6.8;4.5;4.3;-1.3;-3.9;-3.4;-5.7;-2.4;-11.7;-1.1;-0.4;0.4;-1.5
"Bắc Ninh";5.3;12.4;6.2;6.4;9.8;13.4;12.7;19.4;15.4;16.0;7.7;7.3;8.3;8.9;7.6;6.5;5.5;6.1;5.4;3.2;-2.5;5.1;-2.1;-2.5;2.2;7.0;7.2;13.4;10.0;12.8
"Quảng Ninh";3.6;3.5;2.6;5.7;3.7;3.6;2.0;4.5;3.8;1.7;5.3;8.5;6.6;4.9;5.4;5.5;4.8;10.4;7.8;3.6;-1.8;-5.0;-4.1;0.8;-1.7;-1.9;-2.8;-5.9;-4.0;-1.9
"Hải Dương";3.1;3.1;4.5;4.3;5.0;7.8;5.6;5.6;4.0;1.4;7.3;5.9;5.3;8.6;7.2;5.5;4.8;8.5;5.6;2.4;-4.3;-2.8;-0.8;-4.3;-2.2;2.3;0.8;-2.9;-1.6;-1.0
"Hải Phòng";4.1;4.5;3.9;5.6;7.0;7.1;6.0;6.6;4.0;2.9;2.9;2.7;2.1;3.8;3.8;5.0;2.1;4.0;3.4;1.4;1.3;1.8;1.8;1.8;3.2;2.1;3.9;2.6;0.6;1.5
