<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BHN,20170203,130.10,131.00,127.00,127.50,28860,130.10,131.00,127.00,127.50,0,6540,0
BHN,20170202,132.00,134.00,131.00,132.00,12840,132.00,134.00,131.00,132.00,0,3170,0
BHN,20170125,138.00,138.00,131.10,135.00,5320,138.00,138.00,131.10,135.00,0,2610,0
BHN,20170124,133.50,134.00,128.00,133.80,12750,133.50,134.00,128.00,133.80,0,6010,0
BHN,20170123,136.00,140.50,133.20,133.50,10410,136.00,140.50,133.20,133.50,0,50,0
BHN,20170120,144.00,144.00,136.00,139.00,41550,144.00,144.00,136.00,139.00,0,15690,0
BHN,20170119,147.00,149.90,133.10,135.00,59330,147.00,149.90,133.10,135.00,0,4460,0
BHN,20170110,133.60,133.60,127.50,128.00,17773,133.60,133.60,127.50,128.00,0,0,0
BHN,20170109,131.90,145.00,125.60,145.00,33410,131.90,145.00,125.60,145.00,0,0,0
BHN,20170106,122.80,133.00,122.80,127.20,22478,122.80,133.00,122.80,127.20,0,0,0
BHN,20170105,122.50,138.00,116.40,126.10,78810,122.50,138.00,116.40,126.10,0,0,29400
BHN,20170104,124.00,124.00,118.00,120.00,12890,124.00,124.00,118.00,120.00,0,0,1600
BHN,20170103,125.00,125.00,120.00,122.00,8220,125.00,125.00,120.00,122.00,0,0,0
BHN,20161230,125.00,128.00,122.60,125.50,13202,125.00,128.00,122.60,125.50,0,0,0
BHN,20161229,129.00,132.90,124.00,131.00,24010,129.00,132.90,124.00,131.00,0,0,0
BHN,20161228,135.00,140.00,130.00,132.80,42070,135.00,140.00,130.00,132.80,0,0,0
BHN,20161227,126.00,140.00,125.00,140.00,41620,126.00,140.00,125.00,140.00,0,0,0
BHN,20161226,111.10,128.00,111.10,125.00,38952,111.10,128.00,111.10,125.00,0,0,300
BHN,20161223,130.70,140.00,111.20,130.60,106720,130.70,140.00,111.20,130.60,0,500,0
BHN,20161222,168.00,169.20,125.20,147.20,76500,168.00,169.20,125.20,147.20,0,1500,0
BHN,20161221,160.00,170.00,138.60,170.00,27650,160.00,170.00,138.60,170.00,0,0,0
BHN,20161220,175.00,175.00,162.90,163.90,32893,175.00,175.00,162.90,163.90,0,0,0
BHN,20161219,200.10,210.00,179.60,179.60,31811,200.10,210.00,179.60,179.60,0,2000,500
BHN,20161216,210.00,225.80,180.00,225.80,88668,210.00,225.80,180.00,225.80,0,0,500
BHN,20161215,201.40,201.40,175.00,201.40,83518,201.40,201.40,175.00,201.40,0,400,10000
BHN,20161214,161.00,180.70,160.00,180.70,78644,161.00,180.70,160.00,180.70,0,1000,15100
BHN,20161213,143.00,161.20,143.00,161.20,143120,143.00,161.20,143.00,161.20,0,500,200
BHN,20161212,129.20,148.40,121.50,148.40,180311,129.20,148.40,121.50,148.40,0,100,0
