<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SAB,20170203,217.40,222.90,216.40,217.00,51700,217.40,222.90,216.40,217.00,0,27020,100
SAB,20170202,223.90,223.90,219.00,219.00,18560,223.90,223.90,219.00,219.00,0,8960,800
SAB,20170125,222.00,223.80,220.00,223.80,18800,222.00,223.80,220.00,223.80,0,8400,0
SAB,20170124,220.00,224.00,220.00,222.00,137100,220.00,224.00,220.00,222.00,0,77360,1000
SAB,20170123,223.80,223.80,220.50,222.00,44360,223.80,223.80,220.50,222.00,0,16500,0
SAB,20170120,223.00,225.10,223.00,223.80,77940,223.00,225.10,223.00,223.80,0,31460,600
SAB,20170119,225.00,225.00,220.00,223.80,40040,225.00,225.00,220.00,223.80,0,7540,0
SAB,20170118,215.30,225.00,215.30,223.80,103480,215.30,225.00,215.30,223.80,0,56470,0
SAB,20170117,208.50,217.40,208.10,216.50,113760,208.50,217.40,208.10,216.50,30000,96760,0
SAB,20170116,211.00,211.00,208.00,209.00,33890,211.00,211.00,208.00,209.00,0,16480,100
SAB,20170113,210.70,212.20,210.60,211.80,37670,210.70,212.20,210.60,211.80,0,18820,520
SAB,20170112,213.00,213.00,210.00,210.60,55290,213.00,213.00,210.00,210.60,0,11160,400
SAB,20170111,204.00,210.00,202.00,210.00,228480,204.00,210.00,202.00,210.00,0,85940,0
SAB,20170110,206.90,206.90,201.50,204.50,44540,206.90,206.90,201.50,204.50,0,5520,0
SAB,20170109,206.00,208.00,205.00,205.00,31390,206.00,208.00,205.00,205.00,0,1500,0
SAB,20170106,197.90,209.90,197.20,206.00,212390,197.90,209.90,197.20,206.00,500000,541520,2000
SAB,20170105,197.00,198.00,196.00,197.10,27170,197.00,198.00,196.00,197.10,0,2330,0
SAB,20170104,197.00,198.60,195.00,197.00,87490,197.00,198.60,195.00,197.00,0,35090,1000
SAB,20170103,197.70,197.70,195.90,197.00,63170,197.70,197.70,195.90,197.00,500000,14000,50
SAB,20161230,198.00,198.00,195.50,197.70,96740,198.00,198.00,195.50,197.70,27000,63620,0
SAB,20161229,198.00,198.00,193.00,197.00,98560,198.00,198.00,193.00,197.00,0,67330,10
SAB,20161228,199.80,199.80,197.10,198.90,28530,199.80,199.80,197.10,198.90,0,2500,0
SAB,20161227,197.00,199.80,193.10,198.00,69880,197.00,199.80,193.10,198.00,0,20630,0
SAB,20161226,198.00,198.00,190.00,197.00,169870,198.00,198.00,190.00,197.00,50000,165310,50200
SAB,20161223,199.96,199.96,194.15,197.01,54810,203.00,203.00,197.10,200.00,0,24420,5410
SAB,20161222,206.75,206.75,199.96,199.96,52460,209.90,209.90,203.00,203.00,0,26070,0
SAB,20161221,194.25,200.46,182.23,197.79,241750,197.20,203.50,185.00,200.80,50000,144910,9080
SAB,20161220,207.84,208.34,194.25,194.25,399710,211.00,211.50,197.20,197.20,150000,266380,107000
SAB,20161219,208.82,221.63,208.82,208.83,168190,212.00,225.00,212.00,212.00,0,84730,0
SAB,20161216,222.91,222.91,197.00,221.63,387520,226.30,226.30,200.00,225.00,0,141390,0
SAB,20161215,208.33,208.33,206.86,208.33,380050,211.50,211.50,210.00,211.50,0,141390,0
SAB,20161214,194.74,194.74,194.74,194.74,154380,197.70,197.70,197.70,197.70,210000,247240,0
SAB,20161213,182.03,182.03,182.03,182.03,96830,184.80,184.80,184.80,184.80,0,51960,0
SAB,20161212,170.21,170.21,170.21,170.21,35690,172.80,172.80,172.80,172.80,0,26280,1000
SAB,20161209,148.74,159.08,148.74,159.08,3010,151.00,161.50,151.00,161.50,2886400,2301540,2886400
SAB,20161208,148.74,148.74,148.74,148.74,1000,151.00,151.00,151.00,151.00,0,0,0
SAB,20161207,139.08,139.08,139.08,139.09,30,141.20,141.20,141.20,141.20,285300,0,0
SAB,20161206,130.02,130.02,130.02,130.02,3010,132.00,132.00,132.00,132.00,0,0,0
