"from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"10210845468545723","Vịt Trần","Chắc trang machinelearningmastery.com không còn lạ gì với các bạn. Tuy nhiên mình chưa bao giờ tìm được sách của trang này cả. Không biết có bạn nào có, có thể cho mình ""mượn"" đọc thử :D.

Nếu bạn có cuốn này ""Discover XGBoost With Python!"" thì thật là tuyệt.","2017-02-28T02:24:09+0000","status",NA,"472656846222343_754318104722881",NA,7,3,0
"10208357389116300","Nguyen Le Xuan Bach","Giới thiệu sách:
Đây là quyển sách mới do WILEY xuất bản ngày 24/10/2016.
Nội dung viết về lý thuyết thống kê cơ bản nhưng với cách trình bày khác, chủ yếu là hình ảnh minh họa đễ dễ nắm bắt hơn.
Xem thêm thông tin tại trang chủ WILEY: http://www.wiley.com/WileyCDA/WileyTitle/productCd-1119272033,descCd-buy.html
Và bài viết của tác giả: http://www.statisticsfromatoz.com/blog/the-book-statistics-from-a-to-z-confusing-concepts-clarified-is-now-available

Bạn nào cần thì pm nhé
hi all, Comment nào mình đã like, là đã gởi qua email hoặc tin nhắn của Face. Nhớ kiểm tra luôn phần tin nhắn yêu cầu, vì chưa kết bạn thì face sẽ đẩy qua bên đó. Nhiều quá không trả lời từng bạn được, thông cảm ạ","2016-10-26T12:15:35+0000","photo","https://www.facebook.com/photo.php?fbid=10207355225302831&set=gm.683764491778243&type=3","472656846222343_683764491778243",NA,197,286,40
"388815564825175","Lê Thị Hồng Thuỷ","cho e hỏi gán giá trị vào những ô dữ liệu trống như thế nào ạ?","2017-02-27T12:48:31+0000","photo","https://www.facebook.com/photo.php?fbid=388210291552369&set=gm.753983698089655&type=3","472656846222343_753983698089655",NA,1,2,0
"10208725271269151","Dung Nguyen Chi","Hanoi UseR! Meetup Announcement:

CÔNG BỐ ĐỊA ĐIỂM VÀ THỜI GIAN CHÍNH THỨC CHO ""R User Meeting"" .  

Dear các bạn, 

Nhóm tổ chức xin thông báo về thời gian và địa điểm buổi gặp mặt đầu tiên của cộng đồng người sử dụng R tại Hà Nội:

- Địa điểm: văn phòng công ty RTA, tầng 11, tòa nhà CATHAY, 167 Bùi Thị Xuân, Hà Nội

- Thời gian: thứ 7, ngày 04/03/2017, bắt đầu lúc 8:30

Các bạn đã đăng ký ngày Chủ nhật xin vui lòng thu xếp sang thứ 7 vì tòa nhà không làm việc ngày chủ nhật. Các bạn vẫn có thể đăng ký tham gia hoặc trình bày lightning talk tại đường link sau: https://goo.gl/forms/m6v8gX1j9WePI11s1

Thông tin liên hệ và hỗ trợ: Dũng (FB:  Dung Nguyen Chi) hoặc An Tom (097.3318.922)

Cảm ơn mọi người và rất mong được gặp các bạn. 

Thay mặt nhóm tổ chức: Nguyễn Chí Dũng","2017-02-27T07:22:28+0000","photo","https://www.facebook.com/photo.php?fbid=10208716235203255&set=gm.753883504766341&type=3","472656846222343_753883504766341",NA,50,5,0
"10210845468545723","Vịt Trần","Không có gì thú vị hơn là xem một trang web đẹp như vậy.","2017-02-26T23:32:04+0000","link","http://students.brown.edu/seeing-theory/index.html","472656846222343_753711368116888",NA,63,7,12
"10208725271269151","Dung Nguyen Chi","Thăm dò ý kiến cho ""Cuộc gặp mặt của những người sử dụng R ở Hà Nội"" 

Thân chào các bạn - những người sử dụng R. 

Sau khi tham khảo ý kiến một số người như anh Le Dang Trung ,Thanh Le, An Tom, Hoang Duc Anh , Mai Huong To, Ho Bich Hai ..
mình lên kế hoạch  tổ chức gặp mặt cho những anh/ chị /em sử dụng R (sau đây gọi là Vietnam R Users) tại Hà Nội nhằm tạo một không gian cho trao đổi, học hỏi lẫn nhau cũng như khả năng ứng dụng R trong industries cũng như nghiên cứu. 

Trước mắt gần như chắc chắn sẽ có các bạn được mình tag ở trên kia có mặt. Họ là những đại diện (hoặc đồng thời) cho cả hai khu vực mà R có thể sử dụng: industries và nghiên cứu. 

Trước hết mình muốn các bạn cho ý kiến về những điểm sau. 

1. Về thời gian gặp mặt nhau mình dự kiến là ngày mùng 4 hoặc mùng 5 tháng 3 (vì đó là ngày thứ 7 và Chủ Nhật). 

2. Về địa điểm tổ chức gặp mặt: dự kiến ở tầng 11, số 167 phố Bùi Thị Xuân - Quận Hai Bà Trưng  - Hà Nội (gần Vincom Bà Triệu). 

3. Nội dung (main topics) của lần gặp mặt lần này chính là thứ mình muốn nhận được phản hồi của các bạn vì đến giờ mình vẫn chưa có ý tưởng gì cho phần chủ đạo này. 

Rất mong nhận được sự phản hồi tích cực và hăng hái của các bạn. Cảm ơn các đóng góp và phản hồi của các bạn vì một cuộc gặp thành công và bổ ích cho tất cả.","2017-02-22T14:27:26+0000","photo","https://www.facebook.com/photo.php?fbid=10208682014507759&set=gm.751449485009743&type=3","472656846222343_751449485009743",NA,126,35,0
"10208725271269151","Dung Nguyen Chi","Phiếu thăm dò ý kiến cho ""Hanoi UseR! Meetup"" 

Thân chào các bạn, 

Như đã thông báo, mình muốn nhận được phản hồi của các bạn nhằm tổ chức một cách thành công Hanoi UseR! Meetup sẽ diễn ra vào đầu tháng 3. 

Vậy mong các bạn vui lòng điền cho mình những thông tin có link dưới đây: 

https://docs.google.com/forms/d/e/1FAIpQLSfvkKxXK5EwQBhzJDK3F717hKliuP48VVNTU3zNs3pFUozG-Q/viewform?c=0&w=1

Cảm ơn các bạn nhiều.","2017-02-23T14:34:34+0000","photo","https://www.facebook.com/photo.php?fbid=10208689070364151&set=gm.751939664960725&type=3","472656846222343_751939664960725",NA,26,0,0
"10210845468545723","Vịt Trần","Trên thực tế, chúng ta lúc nào cũng thiếu dữ liệu chất lượng. Chỉ có trường hợp lí tưởng, chúng ta mới có đủ dữ liệu. Mô phỏng Monte Carlo và Bootstrap là hai phương pháp giúp bạn khẳng định tính robust của mô hình của bạn. Xin chia sẻ với các bạn chương 8 của Machine Learning in Medicine project.

Những ai có góp ý gì cho bài viết, mình rất vui. Cám ơn các bạn.

","2017-02-09T02:03:43+0000","link","http://rpubs.com/tkvit/248504","472656846222343_743537495800942",NA,27,4,4
"1627919773889937","Nguyen Chi Thanh","Một kho dữ liệu khổng lồ.
","2017-02-14T07:52:02+0000","link","https://www.gapminder.org/data/","472656846222343_746341562187202",NA,51,2,21
"1104669302995554","Anh Nguyen","Chào mọi người. Mình là beginner trong R và mình đang bị stuck mong mọi người comment giúp. Mình muốn extract 3 ký tự đầu trong tên mẫu để merge các mẫu cùng tên với nhau lai. Code bên dưới chạy rất tốt khi extract and merge ký tự đầu tiên nhưng khi làm cho 3 ký tự thì mình gặp error cho hàm if

mergeATClevel2<-function(data){
       # for tests: levels=c(""A"",""B"")
       levels=c(""A02"",""A03"",""A04"","") 
       mergedatc=c()
       for(level in levels){
         print(paste(""level"",level))
         levelValues=c()
         # loop over samples
         for (colIndex in 1:ncol(data)){
           value=0
           # loop over rows
           for (rowIndex in 1:nrow(data)){
             threefirstLetter=strsplit(rownames(data)[rowIndex],split="""")[[1]][1:3]
            
             # row belongs to current level (starts with the level letter)
            
              if(threefirstLetter==level){
               if(data[rowIndex,colIndex]==1){
                 value=1
                 #print(paste(rownames(data)[rowIndex],"" is part of level "",level,sep=""""))
               }
             }
           } # end row loop
           levelValues=append(levelValues,value)
         } # end column loop
         mergedatc=rbind(mergedatc,levelValues)
       } # end level loop
       rownames(mergedatc)=levels
       colnames(mergedatc)=colnames(data)
       return(mergedatc)
     }

Warning:
In if (threefirstLetter == level) { ... :
  the condition has length > 1 and only the first element will be used

Mình biết là condition cho phần    
 if(threefirstLetter==level){
               if(data[rowIndex,colIndex]==1){
                 value=1

không được execute vì file output toan ""0"" nhưng mình không biết sửa code như thế nào. 
Mong mọi người giúp đỡ. Thanks a lot in advance!","2017-02-14T08:01:09+0000","link","http://[1:3]/","472656846222343_746346188853406",NA,4,4,0
