"Diện tích rừng bị cháy phân theo địa phương chia theo Tỉnh, thành phố và Năm"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015"
"CẢ NƯỚC";7457.0;4198.4;1750.2;19943.3;4817.0;1045.9;1523.4;12333.5;5510.6;4787.0;6829.3;2386.7;5136.4;1549.7;1658.0;4734.9;1177.1;1385.5;495.0;1775.6;1076.0
"Đồng bằng sông Hồng";0.0;68.6;11.4;170.1;433.5;59.4;48.5;95.5;499.8;460.1;195.7;441.8;979.2;105.6;216.6;28.8;33.7;79.2;72.6;61.9;19.7
"Hà Nội";..;23.6;..;36.0;47.5;11.0;..;14.2;73.0;91.0;7.7;32.0;10.0;..;17.4;1.6;..;64.9;8.9;5.4;6.0
"Hà Tây";..;24.4;..;..;1.0;..;..;3.0;2.0;12.6;6.0;0.5;1.1;..;..;..;..;..;..;..;..
"Vĩnh Phúc";..;..;8.5;78.7;77.0;15.1;4.0;78.3;52.4;42.6;11.5;22.5;24.9;2.9;21.4;20.1;30.7;8.8;63.7;9.3;5.6
"Bắc Ninh";..;..;..;..;..;..;..;..;..;..;0.9;..;..;1.7;0.6;..;..;..;..;..;..
"Quảng Ninh";..;..;2.9;..;263.0;29.5;41.7;..;355.6;295.3;162.7;363.1;916.0;96.1;149.9;7.1;3.0;5.5;..;7.0;8.1
"Hải Dương";..;2.4;..;50.3;41.0;1.5;..;..;1.5;11.5;4.0;21.5;24.0;0.2;22.4;..;..;..;..;33.8;..
"Hải Phòng";..;18.2;..;3.5;4.0;2.3;2.8;..;15.3;2.0;1.7;2.2;0.7;4.7;4.9;..;..;..;..;..;..
"Hà Nam";..;..;..;..;..;..;..;..;..;1.2;..;..;..;..;..;..;..;..;..;..;..
"Ninh Bình";..;..;..;1.6;..;..;..;..;..;3.9;1.2;..;2.5;..;..;..;..;..;..;6.5;..
"Trung du và miền núi phía Bắc";679.0;2909.3;193.7;5051.0;3282.5;507.9;270.0;563.0;2814.5;1590.2;1980.4;1097.6;3059.0;389.9;1124.3;2418.4;458.7;915.3;159.9;483.5;493.3
"Hà Giang";20.0;68.0;73.0;193.0;243.0;6.0;2.0;15.6;113.7;8.8;66.5;335.3;97.8;16.6;381.0;309.6;6.3;87.0;2.4;43.7;156.0
"Cao Bằng";2.0;163.0;19.0;177.0;30.0;47.0;15.0;132.6;190.3;144.3;64.9;73.9;75.8;35.0;95.7;339.0;0.3;..;11.5;49.4;18.0
"Bắc Kạn";..;..;1.0;30.0;260.0;10.2;..;21.7;14.5;37.0;3.4;9.7;4.9;4.0;16.0;27.8;1.6;23.2;2.2;36.6;3.4
"Tuyên Quang";1.0;59.4;..;..;387.0;2.1;0.2;16.0;97.1;58.2;32.1;51.9;82.6;32.2;5.0;38.3;0.6;21.9;..;3.5;..
"Lào Cai";30.0;598.0;..;..;44.0;92.6;..;26.4;110.0;6.5;28.7;8.9;43.0;2.6;27.0;735.8;..;..;..;40.6;7.1
"Yên Bái";250.0;415.0;19.5;258.7;20.0;3.4;8.5;9.5;274.1;27.9;190.1;149.3;709.2;26.7;201.4;492.2;263.2;..;4.3;67.1;107.0
