"Chỉ số giá tiêu dùng các tháng trong năm chia theo Các tháng và Năm"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Tháng 1";103.80;100.90;100.80;101.60;101.70;100.40;100.30;101.10;100.90;101.10;101.10;101.20;101.10;102.38;100.32;101.36;101.74;101.00;101.25;100.69;99.80
"Tháng 2";103.40;102.50;101.80;102.20;101.90;101.60;100.40;102.20;102.20;103.00;102.50;102.10;102.20;103.56;101.17;101.96;102.09;101.37;101.32;100.55;99.95
"Tháng 3";100.20;100.80;99.50;99.20;99.30;98.90;99.30;99.20;99.40;100.80;100.10;99.50;99.80;102.99;99.83;100.75;102.17;100.16;99.81;99.56;100.15
"Tháng 4";101.00;100.10;99.40;101.60;99.40;99.30;99.50;100.00;100.00;100.50;100.60;100.20;100.50;102.20;100.35;100.14;103.32;100.05;100.02;100.08;100.14
"Tháng 5";101.80;99.50;99.50;101.40;99.60;99.40;99.80;100.30;99.90;100.90;100.50;100.60;100.80;103.91;100.44;100.27;102.21;100.18;99.94;100.20;100.16
"Tháng 6";100.80;99.50;100.10;100.00;99.70;99.50;100.00;100.10;99.70;100.80;100.40;100.40;100.90;102.14;100.55;100.22;101.09;99.74;100.05;100.30;100.35
"Tháng 7";100.00;99.30;100.20;99.50;99.60;99.40;99.80;99.90;99.70;100.50;100.40;100.40;100.90;101.13;100.52;100.06;101.17;99.71;100.27;100.23;100.13
"Tháng 8";100.30;99.60;100.10;101.10;99.60;100.10;100.00;100.10;99.90;100.60;100.40;100.40;100.60;101.56;100.24;100.23;100.93;100.63;100.83;100.22;99.93
"Tháng 9";100.50;100.30;100.60;101.00;99.40;99.80;100.50;100.20;100.10;100.30;100.80;100.30;100.50;100.18;100.62;101.31;100.82;102.20;101.06;100.40;99.79
"Tháng 10";100.10;100.10;100.30;100.30;99.00;100.10;100.00;100.30;99.80;100.00;100.40;100.20;100.70;99.81;100.37;101.05;100.36;100.85;100.49;100.11;100.11
"Tháng 11";100.10;100.90;100.30;100.10;100.40;100.90;100.20;100.30;100.60;100.20;100.40;100.60;101.20;99.24;100.55;101.86;100.39;100.47;100.34;99.73;100.07
"Tháng 12";100.30;101.00;101.00;100.80;100.50;100.10;101.00;100.30;100.80;100.60;100.80;100.50;102.90;99.32;101.38;101.98;100.53;100.27;100.51;99.76;100.02

